date,open,high,low,close,volume
1609459200000,88.36,91.2,84.4,91.15,8998196.8765
1609545600000,91.15,92.44,82.62,86,9121019.9698
1609632000000,86,95.89,81.19,94.28,13505290.0292
1609718400000,94.28,115.75,86,114.67,37680141.8027
1609804800000,114.67,124.67,98.47,120.28,26460051.5272
1609891200000,120.28,121.3,108.04,115.97,22290599.9261
1609977600000,115.97,129.59,105.6,115.22,33478186.2098
1610064000000,115.22,119.71,100.32,110.93,23052046.1156
1610150400000,110.93,119.71,105.97,118.1,12287978.0675
1610236800000,118.1,137.66,111.34,127.08,37063435.6937
1610323200000,127.08,127.43,93.8,114.32,34008331.4982
1610409600000,114.32,136.14,109.1,127.7,22929175.372
1610496000000,127.7,148.15,120,147.12,19101356.3625
1610582400000,147.12,154.9,139.05,147.95,15538989.7421
1610668800000,147.95,168.2,139.69,166.32,19468539.1967
1610755200000,166.32,204.05,166.26,181.85,36138348.8752
1610841600000,181.85,199.08,174.9,186.32,27144456.4784
1610928000000,186.32,201.53,180,201.38,17731043.4712
1611014400000,201.38,210,185,185.82,24185319.8308
1611100800000,185.82,199.5,170,196.99,24252380.8727
1611187200000,196.99,199.69,154.14,159.79,29187909.2511
1611273600000,159.79,199.4,147.05,189.78,24096709.8498
1611360000000,189.78,221,185.69,214.07,19438462.4113
1611446400000,214.07,289.15,212.67,264.75,42729975.2933
1611532800000,264.75,283.3,237.21,247.95,32168624.7505
1611619200000,247.95,288.02,240.61,277.74,38721892.2989
1611705600000,277.74,299.75,255.1,286.87,42038219.1997
1611792000000,286.87,313.11,275.48,299.75,28906232.8059
1611878400000,299.75,309.96,272.23,289.64,41201658.4568
1611964800000,289.64,324.26,282.27,316,22108099.8456
1612051200000,316,320.83,293.4,300.76,17103255.4429
1612137600000,300.76,307,284.73,295.2,20204402.6244
1612224000000,295.2,311.23,285.85,304.19,21192732.4838
1612310400000,304.19,387.88,301.75,384.8,30719887.5058
1612396800000,384.8,521.89,384.69,465.73,148309510.5735
1612483200000,465.73,549.95,465.19,508.88,101865470.2023
1612569600000,508.88,514.23,436.19,474.72,80903049.9081
1612656000000,474.72,482.26,392,472.59,56595640.8481
1612742400000,472.59,532.52,462.3,492.09,66001404.7419
1612828800000,492.09,514.4,472,492.01,46432308.7481
1612915200000,492.01,585.19,491,524.97,102268292.3907
1613001600000,524.97,543.96,507,518.34,50616101.6677
1613088000000,518.34,549.71,495,531.35,50774641.5462
1613174400000,531.35,547.17,486.86,497.62,50069703.7144
1613260800000,497.62,512.25,460.66,468.96,29947856.1957
1613347200000,468.96,496.86,388.67,455.3,69993602.1495
1613433600000,455.3,480.18,421.08,432.98,40367380.7077
1613520000000,432.98,473,400.36,452.21,57818363.35
1613606400000,452.21,480.3,435.65,442.52,42866664.926
1613692800000,442.52,449.83,404.81,419.19,49987920.3403
1613779200000,419.19,502.2,404.88,441.58,102902296.9168
1613865600000,441.58,455.74,424.02,437.51,35400082.4894
1613952000000,437.51,448.84,348,400.48,78060729.0922
1614038400000,400.48,403.99,284,364.02,115174639.6554
1614124800000,364.02,408.36,341.18,367.44,71863326.7548
1614211200000,367.44,389.29,335,339.13,41706471.9039
1614297600000,339.13,354.5,303.81,323.79,60200658.3492
1614384000000,323.79,350.17,323.37,333.14,28918743.3469
1614470400000,333.14,366.97,300.13,355.36,45563145.0599
1614556800000,355.36,389.64,351.54,385.44,61465651.08
1614643200000,385.44,419.08,376.04,392.39,67933443.4303
1614729600000,392.39,420.37,384.52,397.02,40155516.9269
1614816000000,397.02,411.95,365.23,374.64,56442981.7682
1614902400000,374.64,377.67,339.81,367.43,39014023.95
1614988800000,367.43,391.43,352.12,388.35,26344152.8514
1615075200000,388.35,419.63,384.21,415.29,44824925.4489
1615161600000,415.29,438.8,391.79,437.87,60290361.8282
1615248000000,437.87,454.54,418.01,447.25,46794878.7105
1615334400000,447.25,462.3,398.01,407.56,83075989.054
1615420800000,407.56,418.35,387,406.99,63130356.0159
1615507200000,406.99,410.57,359.85,375.1,60598906.648
1615593600000,375.1,430.36,359.66,415.88,67759132.0353
1615680000000,415.88,420.47,377.74,381.31,48374847.6641
1615766400000,381.31,391.49,355,368.07,56096750.4917
1615852800000,368.07,380.9,350.44,371.66,41034899.1653
1615939200000,371.66,384.35,357.75,382.73,39527552.2653
1616025600000,382.73,384.53,361.25,363.36,29977516.538
1616112000000,363.36,380.75,353.5,370.04,33130608.7359
1616198400000,370.04,398.18,368.24,370.82,37727337.146
1616284800000,370.83,376.6,359.84,368.34,25686670.1708
1616371200000,368.34,373.07,330.42,336.17,41402581.9178
1616457600000,336.17,345.94,326.02,330.67,47432986.5761
1616544000000,330.67,349.26,295,308.15,41331885.6224
1616630400000,308.15,333.71,298.07,325.79,64758367.8474
1616716800000,325.79,361.17,325.67,358.43,33636748.4296
1616803200000,358.43,362.54,339.87,352.39,25829982.9831
1616889600000,352.39,357.89,332.32,348.5,27494602.686
1616976000000,348.5,369.16,344.94,361.61,40597914.5148
1617062400000,361.61,383.9,353.38,377.96,42109714.4313
