date,open,high,low,close,volume
1609459200000,88.65,91.02,84.93,90.95,130311.4276
1609545600000,90.95,92.34,82.49,86.12,67596.1761
1609632000000,86.12,95.6,81.27,93.25,230747.3245
1609718400000,93.25,115.16,87.02,114.08,1544547.5323
1609804800000,114.08,124.84,98.09,120.42,541619.6369
1609891200000,120.42,121.76,106.49,115.19,449935.4985
1609977600000,115.19,128.92,107.55,114.69,335278.2482
1610064000000,114.69,119.47,100.09,110.86,220538.2303
1610150400000,110.86,119.74,106.48,118.28,103881.9165
1610236800000,118.28,136.85,110.1,127.35,978365.0087
1610323200000,127.35,128.15,93.7,113.99,622012.2458
1610409600000,113.99,136.71,109.31,126.34,308651.0873
1610496000000,126.34,151.72,119.63,147.07,367194.3625
1610582400000,147.07,154.92,131.92,147.58,416819.0189
1610668800000,147.58,168.51,137.07,166.53,1836080.1009
1610755200000,166.53,202.9,166.53,182.99,1391468.5847
1610841600000,182.99,199.12,173.97,186.81,1357438.9306
1610928000000,186.81,200.77,179,200.51,478132.3214
1611014400000,200.51,209.61,184.25,187.36,977832.5917
1611100800000,187.36,200,168.61,196.98,1280942.1066
1611187200000,196.98,199,154.28,160.1,950525.9934
1611273600000,160.1,199.17,146.6,189.55,777667.9558
1611360000000,189.55,222.9,186.38,213.58,835820.1718
1611446400000,213.58,288.66,209.92,265,1870692.4308
1611532800000,265,284.62,237.92,247.47,892298.9602
1611619200000,247.47,288,239.24,278.38,1667620.5915
1611705600000,278.38,297.95,248.62,287.42,1819046.2259
1611792000000,287.42,310.6,274.88,299.48,778678.8362
1611878400000,299.48,309.98,259.45,288.83,952925.2857
1611964800000,288.83,323.72,282.26,315.81,381348.3698
1612051200000,315.81,319.53,293.48,300.38,226677.6654
1612137600000,300.38,307.69,284.8,294.24,213301.1116
1612224000000,294.24,309.42,285.01,302.92,196920.1468
1612310400000,302.92,387.03,300.51,384.69,671150.2114
1612396800000,384.69,528.08,384.69,466.04,3080999.6944
1612483200000,466.04,547.47,466.04,504.03,1933334.4185
1612569600000,504.03,511,434.69,472.13,2252594.9634
1612656000000,472.13,483.5,394.14,473.11,1263217.6263
1612742400000,473.11,530.91,463.66,490.13,1632038.3035
1612828800000,490.61,514.35,471.11,488.64,657945.0617
1612915200000,488.64,583.3,488.64,522.89,1199981.6051
1613001600000,522.89,543.58,499.31,519.05,1246155.1378
1613088000000,519.05,546.03,500,528.42,1019696.3076
1613174400000,528.42,542.99,482.04,493.75,860951.392
1613260800000,493.75,508.57,458,468.55,744344.2739
1613347200000,468.55,497.87,385.65,454.68,1584900.6769
1613433600000,454.68,478.07,420.82,432.62,507547.6026
1613520000000,432.62,478.09,400.11,450.02,831655.575
1613606400000,450.01,479.17,435.1,442.2,490190.5989
1613692800000,442.2,448.24,405.9,419.77,664351.2351
1613779200000,419.77,500.6,407.83,442.44,1366478.0797
1613865600000,442.44,454.92,425.87,436.91,782077.5368
1613952000000,436.91,447.67,350.37,398.87,1277869.5615
1614038400000,398.87,401.26,281.35,362.94,4397551.3126
1614124800000,362.94,406.98,341.21,367.05,2286995.1397
1614211200000,367.05,387.62,334.71,337.48,1095463.5346
1614297600000,337.48,353.79,303.21,322.79,823993.9539
1614384000000,322.79,350.82,322.79,332.79,318158.2481
1614470400000,332.79,366.8,300.94,354,628476.2812
1614556800000,354.38,389.12,351.69,385.27,1245079.1582
1614643200000,385.27,417.75,376.87,391.78,1110650.5488
1614729600000,391.78,419,384.75,396.81,591285.6778
1614816000000,396.81,410.65,366.27,374.37,1895872.8532
1614902400000,374.37,377.81,340,367.79,951828.3992
1614988800000,367.79,390.37,352.33,387.6,693436.2557
1615075200000,387.6,419.9,380,415.7,2409472.858
1615161600000,415.7,437.49,392.43,436.95,1574488.4233
1615248000000,436.95,450.58,418.19,446.09,1618526.4611
1615334400000,446.09,459.53,398.89,406.16,2273391.3441
1615420800000,406.16,415,387.39,405.34,2092889.2909
1615507200000,405.34,407.91,361.47,374.37,1284134.1841
1615593600000,374.37,427.97,359.37,415,2683754.39
1615680000000,415,419.08,376.4,380,3687535.5736
1615766400000,380,389.1,355.01,367.34,1246538.3017
1615852800000,367.34,377.12,350.63,370.99,981633.5713
1615939200000,370.99,383.3,357.8,381.75,649624.268
1616025600000,381.76,383.66,361.47,362.11,607155.1991
1616112000000,362.11,380.62,353.73,369.95,2292231.7483
1616198400000,369.95,395.97,367.33,369.54,1298784.192
1616284800000,369.45,375.26,359.46,367.52,756733.5789
1616371200000,367.52,371.79,332.12,335.81,1126226.3091
1616457600000,336.31,344.77,325.72,329.4,813427.0898
1616544000000,329.4,348.86,294.38,308.15,587677.7667
1616630400000,308.15,332.44,298.49,324.97,2623422.4243
1616716800000,324.97,360.18,324.79,357.96,1266613.3104
1616803200000,357.96,361.51,339.34,351.28,591510.7727
1616889600000,351.28,356.42,331.97,348.2,1901125.5627
1616976000000,348.2,368.76,344.43,361.28,1336177.4703
1617062400000,361.28,383.37,353.51,377.15,1668842.9286
1617148800000,377.15,393.91,357,382.11,5067153.5631
1617235200000,382.11,393.38,371.07,382.11,1650761.524
1617321600000,382.11,422.56,377.36,420.65,4775014.4897
1617408000000,420.65,424.99,376.54,378.96,1309312.6446
1617494400000,378.96,410.8,369.09,403.06,624045.9739
1617580800000,403.06,408.4,383,398,1369806.5939
1617667200000,398,414.43,379.49,383.4,1084121.0601
1617753600000,383.4,386.81,340,348.6,1013031.9489
1617840000000,348.6,370.67,346.08,370.6,625490.9487
