date,open,high,low,close,volume
1609459200000,3.204,3.875,3.051,3.66,10758374.2219
1609545600000,3.66,3.95,3.3,3.508,5608323.9156
1609632000000,3.508,3.853,3.402,3.497,3439673.8242
1609718400000,3.497,3.885,3.221,3.614,3669005.4943
1609804800000,3.615,4.369,3.481,4.26,7745455.6828
1609891200000,4.26,4.997,4.153,4.584,8658866.741
1609977600000,4.584,4.828,4.167,4.481,3891911.2
1610064000000,4.481,5.88,4.043,5.69,13561243.427
1610150400000,5.686,7.496,5.571,7.218,23010176.4392
1610236800000,7.218,7.52,6.152,6.554,10275919.8599
1610323200000,6.554,6.999,5.682,6.474,8385950.5989
1610409600000,6.474,8.204,6.386,7.72,16355699.0653
1610496000000,7.72,8.516,7.132,8.485,10700398.8615
1610582400000,8.485,9.639,8.218,9.338,11671304.7099
1610668800000,9.338,9.89,8.567,9.34,12292858.128
1610755200000,9.34,13.65,9.12,12.739,14379327.4771
1610841600000,12.739,14.69,12.3,13.109,19762787.7828
1610928000000,13.109,13.795,12.522,12.667,7716542.8868
1611014400000,12.667,13.373,11.536,11.7,5729075.8042
1611100800000,11.7,13.028,10.954,12.35,8294481.7609
1611187200000,12.35,12.938,11.031,11.26,9503346.9909
1611273600000,11.26,13.388,10.625,12.715,8279613.4358
1611360000000,12.715,13.5,12.5,12.895,5689780.8499
1611446400000,12.895,13.195,12.129,12.458,4766182.6188
1611532800000,12.458,12.947,12.03,12.097,3179816.0038
1611619200000,12.097,12.714,11.345,12.179,3506051.7536
1611705600000,12.179,12.184,10.71,11.115,3311525.9899
1611792000000,11.115,12.725,10.767,11.919,3446757.917
1611878400000,11.919,12.658,11.267,11.586,4344730.3986
1611964800000,11.586,12.627,11.251,12.06,2703923.8622
1612051200000,12.06,15.31,11.845,13.503,15314967.1624
1612137600000,13.503,13.59,12.553,13.24,4884887.579
1612224000000,13.252,13.686,12.771,13.474,2115724.7104
1612310400000,13.474,14.969,13.205,14.856,4307087.9466
1612396800000,14.856,15.881,13.673,15.314,6592140.2759
1612483200000,15.314,18.013,15.139,17.862,6992485.7353
1612569600000,17.862,18.597,15.705,18.033,8006025.909
1612656000000,18.033,24.392,17.809,23.739,17719386.5687
1612742400000,23.739,33.793,23.5,30.127,28499660.4218
1612828800000,30.127,32.959,27.468,31.777,16449900.6424
1612915200000,31.777,60,31.311,54.69,76567140.2023
1613001600000,54.69,56.641,42,47.096,48318074.3092
1613088000000,47.219,55,43.646,48.465,38489920.9902
1613174400000,48.465,52.218,43.327,44.157,25033924.5346
1613260800000,44.157,45.951,37.737,39.194,32165225.4116
1613347200000,39.194,44.3,33.4,38.151,36809577.4619
1613433600000,38.151,39.6,35.008,36.414,14938552.7212
1613520000000,36.414,42.017,34.08,37.221,22915657.253
1613606400000,37.221,44,36.257,41.108,25660066.1031
1613692800000,41.108,41.412,37.437,38.925,14586850.0494
1613779200000,38.925,43.035,31.462,35.973,34883070.8576
1613865600000,35.973,38.095,34.953,36.17,11698825.837
1613952000000,36.17,36.224,26,32.122,31075662.1269
1614038400000,32.122,32.406,22.061,27.475,27695256.0909
1614124800000,27.475,31.967,25.108,29.691,16970491.5369
1614211200000,29.691,32.226,26.4,26.662,11057974.7717
1614297600000,26.662,28.015,24.805,25.935,8673653.1602
1614384000000,25.935,27.385,24.974,25.716,8413326.6209
1614470400000,25.716,25.892,22.076,23.959,8312955.0602
1614556800000,23.959,27.83,23.494,27.505,13923025.5596
1614643200000,27.505,32.051,25.881,27.153,21906762.1746
1614729600000,27.153,29.535,26.576,27.159,12098053.7627
1614816000000,27.159,28.907,24.113,25.755,9090745.3774
1614902400000,25.755,25.755,23.462,24.255,8744481.1954
1614988800000,24.255,25.54,23.814,24.995,5986226.3999
1615075200000,24.995,28.02,24.993,26.734,9879060.1128
1615161600000,26.734,27.126,24.966,25.592,11061528.1187
1615248000000,25.592,34.899,23.8,34.502,43361296.9759
1615334400000,34.502,35.9,28.67,29.703,35816749.6781
1615420800000,29.703,33.04,28.402,30.909,23016552.5105
1615507200000,30.909,31.721,26.744,28.036,18237052.9856
1615593600000,28.036,33.28,26.889,31.002,18461876.2272
1615680000000,31.002,32.437,28.826,28.901,14084503.4347
1615766400000,28.901,30.684,27,29.009,22195095.8547
1615852800000,29.009,33.406,27.615,33.074,23063006.9059
1615939200000,33.074,34.189,30.571,32.819,21690090.1841
1616025600000,32.819,35.825,31.886,33.241,36756344.09
1616112000000,33.241,38.534,31.35,37.37,34295961.8831
1616198400000,37.37,39.389,34.044,34.232,20029720.1816
