date,open,high,low,close,volume
1617667200000,8.249,8.318,7.444,7.762,2351654.9611
1617753600000,7.762,8.089,6.559,7.367,4464833.5443
1617840000000,7.367,7.935,7.313,7.772,1467573.3428
1617926400000,7.772,8.877,7.673,7.963,2974265.2068
1618012800000,7.963,8.095,7.259,7.605,1398773.6373
1618099200000,7.605,7.661,7.057,7.246,614857.1255
1618185600000,7.246,8.811,7.202,7.655,5531889.5109
1618272000000,7.655,8.878,7.654,8.053,2375396.2294
1618358400000,8.053,8.077,7.184,7.743,961741.5551
1618444800000,7.743,8.146,7.53,8.055,747431.9945
1618531200000,8.055,8.058,7.136,7.461,1742662.1775
1618617600000,7.461,8.11,7.405,7.746,1521864.5122
1618704000000,7.746,7.771,5.632,6.671,2900516.6702
1618790400000,6.671,9.4,6.46,8.076,6613728.1817
1618876800000,8.076,11.246,7.948,8.586,21234172.8663
1618963200000,8.586,9.279,8.009,8.15,4157754.6796
1619049600000,8.15,10.321,8.081,8.101,7737832.8269
1619136000000,8.101,8.32,6.001,7.466,4268931.3232
1619222400000,7.466,7.476,6.46,6.597,1988469.2881
1619308800000,6.597,7.196,6.069,6.558,1166266.2523
1619395200000,6.558,7.651,6.413,7.594,1515710.6603
1619481600000,7.594,9.094,7.449,8.58,2573915.2409
1619568000000,8.58,10.826,8.235,10.678,5904087.6706
1619654400000,10.678,10.956,9.359,10.093,2169229.8681
1619740800000,10.093,10.3,9.446,10.204,977171.1932
1619827200000,10.204,10.368,9.428,9.739,1422416.7314
1619913600000,9.739,9.739,8.878,9.361,2113099.8624
1620000000000,9.361,9.64,9.072,9.281,2322551.1721
1620086400000,9.281,9.702,8.048,8.104,3722422.9566
1620172800000,8.104,8.822,7.985,8.699,1522102.7814
1620259200000,8.699,8.699,7.472,7.905,2390649.6949
1620345600000,7.905,9.033,7.417,8.377,4270392.3087
1620432000000,8.377,9.016,8.205,8.248,3148137.2559
1620518400000,8.248,8.39,7.671,8.091,866278.954
1620604800000,8.091,8.306,6.738,7.182,4877811.804
1620691200000,7.182,8.448,6.98,8.098,2891314.654
1620777600000,8.098,9.19,6.544,6.732,7892899.7227
1620864000000,6.732,7.624,6.346,6.929,4363431.2278
1620950400000,6.929,7.467,6.85,7.064,1203643.1411
1621036800000,7.064,7.161,6.43,6.541,1081114.4395
1621123200000,6.541,7.109,6.051,6.49,1144768.1815
1621209600000,6.49,6.922,5.842,6.508,3281188.426
1621296000000,6.508,7.063,6.405,6.604,1107085.1859
1621382400000,6.604,6.702,2.923,3.937,5728213.228
1621468800000,3.937,4.893,3.515,4.698,1223651.1405
1621555200000,4.698,5.337,3.655,4.327,3478427.3385
1621641600000,4.327,4.344,3.694,3.932,809511.9375
1621728000000,3.932,4.053,2.737,3.354,1823270.2057
1621814400000,3.354,4.259,3.345,4.173,4149867.0614
1621900800000,4.173,4.375,3.69,4.128,2676777.7579
1621987200000,4.128,4.888,4.008,4.888,3725704.0417
1622073600000,4.888,4.902,4.295,4.808,2143409.7751
1622160000000,4.808,5.007,4.015,4.182,2294284.9725
1622246400000,4.182,5.984,4.175,4.748,12921954.5883
1622332800000,4.748,4.841,4.146,4.539,4576729.5163
1622419200000,4.539,5.264,4.489,4.948,3939900.0872
1622505600000,4.948,4.951,4.55,4.697,1158719.8937
1622592000000,4.697,4.761,4.47,4.703,760506.0323
1622678400000,4.703,4.828,4.588,4.783,598242.3017
1622764800000,4.783,4.878,4.136,4.354,1630717.8537
1622851200000,4.354,4.497,4.072,4.206,468530.441
1622937600000,4.206,4.405,4.168,4.371,210389.7366
1623024000000,4.371,4.524,3.981,4.024,721423.9632
1623110400000,4.024,4.122,3.422,3.849,328543.0519
1623196800000,3.849,4.088,3.558,4.013,779517.1825
1623283200000,4.013,4.186,3.771,3.949,609338.154
1623369600000,3.949,5.08,3.927,4.302,8641324.5071
1623456000000,4.302,4.304,3.745,3.779,1867640.6905
1623542400000,3.779,4.037,3.649,3.996,577231.2163
1623628800000,3.996,4.267,3.861,4.193,1155334.1931
1623715200000,4.193,4.516,4.057,4.495,786217.3879
1623801600000,4.495,4.861,4.158,4.197,3597913.9296
1623888000000,4.197,4.73,4.178,4.694,1144331.3355
1623974400000,4.726,4.987,4.216,4.379,3073062.6934
1624060800000,4.379,4.524,4.194,4.216,622363.473
1624147200000,4.216,4.266,3.821,4.206,974738.5726
1624233600000,4.206,4.206,3.192,3.2,1024409.4135
1624320000000,3.2,3.674,2.86,3.188,2237592.3716
1624406400000,3.188,3.788,3.092,3.716,1680488.4166
1624492800000,3.716,3.85,3.477,3.81,816990.6506
1624579200000,3.81,3.894,3.383,3.42,750675.8022
1624665600000,3.42,3.616,3.259,3.592,873910.6367
1624752000000,3.592,3.74,3.471,3.714,631413.5388
1624838400000,3.714,4.061,3.664,3.965,465364.9404
1624924800000,3.965,4.842,3.965,4.618,1940108.4936
1625011200000,4.618,5.865,4.449,5.679,8377243.6793
1625097600000,5.679,5.99,5.187,5.75,5384838.5396
1625184000000,5.75,6.38,5.75,6.074,15664024.2696
1625270400000,6.074,7.909,5.777,7.714,21684335.0142
1625356800000,7.714,9.62,7.548,8.745,37547382.8255
1625443200000,8.745,8.903,7.756,8.043,20109042.5522
1625529600000,8.043,11.935,8.006,10.881,77098950.6006
1625616000000,10.881,15.9,10.441,13.574,147776606.7438
1625702400000,13.574,15.834,11.558,12.067,135405123.6362
1625788800000,12.067,16.674,11.234,16.417,150694751.7745
1625875200000,16.416,19.55,16.16,17.549,152228843.7124
1625961600000,17.549,19.118,15.921,18.906,116332593.8169
1626048000000,18.906,19.185,16.84,17.482,100825792.1741
1626134400000,17.478,22.49,17.347,20.78,198707288.0271
1626220800000,20.78,24.314,19.48,23.286,224830110.9069
1626307200000,23.286,29.091,22.63,24.01,407905133.8079
1626393600000,24.01,27.25,20.422,20.932,304008565.847
1626480000000,20.932,21.201,17.331,18.524,233554051.7794
1626566400000,18.524,20.83,17.332,18.569,144566526.7238
1626652800000,18.569,18.976,15.585,17.022,152180727.7273
1626739200000,17.022,17.171,14.099,14.988,131842199.8456
1626825600000,14.988,22.613,14.703,22.204,311286462.2633
1626912000000,22.204,25.962,21.674,24.733,443887581.1881
1626998400000,24.733,49.06,24.2,42,930465538.441
1627084800000,42.102,49.68,38.039,41.95,769087479.3901
1627171200000,41.95,44.1,37.351,43.926,396412719.012
1627257600000,43.926,45.546,34.876,40.787,430062012.8107
1627344000000,40.787,53.597,36.069,46.789,823970851.2466
1627430400000,46.797,50.765,44.368,45.531,326823322.4791
1627516800000,45.457,46.74,41.334,44.225,249747562.5861
1627603200000,44.225,45.244,41,43.206,171656925.115
1627689600000,43.206,45.696,41.767,42.485,174686433.9173
1627776000000,42.485,42.9,37.23,37.656,137522503.8055
1627862400000,37.656,42.688,37.656,40.178,147025856.1268
1627948800000,40.178,40.257,37.519,38.349,86804404.1207
1628035200000,38.349,45.879,37.74,43.749,221193590.747
1628121600000,43.749,45.101,40.953,42.633,118557509.2471
1628208000000,42.633,44.033,41.422,42.557,96784947.7914
1628294400000,42.557,43.817,40.179,41.405,81708110.2432
1628380800000,41.405,47.805,40.182,42.245,193021393.6643
1628467200000,42.245,45.322,40.736,43.586,113534669.565
1628553600000,43.585,64.945,43.322,64.357,594884285.4883
1628640000000,64.385,77.5,63.156,66.136,790082280.6101
1628726400000,66.136,73.711,63.028,66.021,398392367.832
1628812800000,66.021,73.744,65.4,70.67,229103507.5194
1628899200000,70.67,71.1,64.6,67.874,186435164.54
1628985600000,67.874,68.213,63.093,68.036,92402145.1322
1629072000000,68.036,71.319,65.79,66.307,139191138.6227
1629158400000,66.307,82.178,65.122,71.826,419398889.0285
1629244800000,71.826,74.935,65.359,69.299,201084718.2479
