date,open,high,low,close,volume
1609459200000,37.422,39.025,37.048,37.841,4187074.72722
1609545600000,37.841,38.923,36.904,38.279,4329427.01515
1609632000000,38.279,41.745,37.788,41.281,10395745.10934
1609718400000,41.281,43.411,38.089,41.113,8678886.73535
1609804800000,41.113,41.889,38.85,41.889,5407447.15159
1609891200000,41.889,42.368,40.565,42.304,4105488.59456
1609977600000,42.304,44.558,41.497,43.658,6882121.09393
1610064000000,43.658,43.67,40.416,42.367,5934779.45084
1610150400000,42.367,44.179,41.575,43.984,4571830.04422
1610236800000,43.984,45.243,39.763,42.425,7137838.89009
1610323200000,42.425,42.477,34.987,38.219,10652001.98461
1610409600000,38.219,40.043,37.13,38.232,3945817.00682
1610496000000,38.232,40.485,37.022,40.182,2875122.72821
1610582400000,40.182,41.996,39.615,41.834,3637293.70506
1610668800000,41.834,42.528,38.709,40.914,2553544.39736
1610755200000,40.914,44.094,40.668,43.119,4944828.146
1610841600000,43.119,46.737,40.967,45.868,6366288.49827
1610928000000,45.868,46.876,44.094,45.388,3488776.16742
1611014400000,45.388,47.234,41.745,42.61,5734595.5305
1611100800000,42.61,42.808,40.294,42.6,4856063.36727
1611187200000,42.6,42.653,38.215,38.566,2441123.95752
1611273600000,38.566,41.475,36.88,40.912,3071616.17105
1611360000000,40.912,41.871,39.566,40.973,1783191.89112
1611446400000,40.973,42.207,40.387,41.878,1047066.8411
1611532800000,41.878,43.438,40.571,41.855,1642287.60829
1611619200000,41.855,42.535,39.851,41.837,1765854.17872
1611705600000,41.837,42.091,39.692,41,2260583.73571
1611792000000,41,43.178,40.434,42.629,1549748.10086
1611878400000,42.629,44.081,41.922,42.871,2594203.87357
1611964800000,42.871,45.162,42.65,44.833,3472756.76947
1612051200000,44.833,45.869,43.393,44.396,3254221.41663
1612137600000,44.396,52.438,43.511,51.438,6470053.62598
1612224000000,51.438,52.977,49.396,51.046,7042478.30434
1612310400000,51.046,52.733,49.902,52.245,2572745.55175
1612396800000,52.245,57.122,51.403,56.089,4955255.74758
1612483200000,56.089,68.736,56.075,67.758,10710459.536
1612569600000,67.758,75.577,61.765,72.865,34427104.05056
1612656000000,72.865,74.835,64.334,68.459,20106131.16056
1612742400000,68.459,79.991,67.789,79.82,17644300.5427
1612828800000,79.82,115.912,78.315,107.67,39622783.30687
1612915200000,107.572,148.188,107.481,128.843,74811249.53067
1613001600000,128.843,132.559,118,123.93,32834819.67172
1613088000000,123.93,141.326,121.165,136.885,41687048.86388
1613174400000,136.885,138.934,125.118,133.299,23711387.09359
1613260800000,133.299,139.234,128.603,136.061,24054396.02935
1613347200000,136.061,139.601,118.8,129.86,21170396.7403
