date,open,high,low,close,volume
1609459200000,28965,29691.5,28700,29399,172186059.13855
1609545600000,29399,33349.5,29023.5,32201.5,254401802.10525
1609632000000,32201.5,34809.5,31978,33045.5,147019465.64805
1609718400000,33045.5,33658.5,27700.5,32005,178200542.5024
1609804800000,32005,34499.5,29923.5,34034.5,132410837.0094
1609891200000,34034.5,37038,33367,36871.5,109393337.0025
1609977600000,36871.5,40428,36260,39485,192347844.54925
1610064000000,39485,42000,36548,40625,189042603.7024
1610150400000,40625,41410,38780,40234,75127092.75965
1610236800000,40234,41447,35001,38162,191176700.4848
1610323200000,38158,38330,30255,35484,419286635.6988
1610409600000,35484,36682,32484,34021,174888400.4231
1610496000000,34021,37847,32325,37374,130814365.2241
1610582400000,37374,40120,36753,39122,142863498.8124
1610668800000,39122,39700,34381,36739,181713361.7213
1610755200000,36739,37948,35370,35999,116439754.2145
1610841600000,35999,36866,33832,35817,88248531.5745
1610928000000,35817,37449,34765,36646,67943553.7304
1611014400000,36646,37880,35884,35902,92349565.87
1611100800000,35902,36400,33384,35480,150257590.7223
1611187200000,35480,35614,30030,30848,173657559.4071
1611273600000,30848,33861,28820,32994,125724341.2536
1611360000000,32994,33489,31431,32092,65356981.4185
1611446400000,32092,33108,30946,32304,74749828.4249
1611532800000,32304,34875,31913,32257,183457778.9403
1611619200000,32257,32936,30846,32502,130426595.1258
1611705600000,32502,33005,29246,30409,196999160.5306
1611792000000,30409,33829,29869,33443,144055901.7375
1611878400000,33443,38644,31975,34238,359630120.2331
1611964800000,34242,34930,32827,34299,102299878.4964
1612051200000,34299,34367,32190,33118,73959692.2861
1612137600000,33118,34718,32312,33545,121316465.5453
1612224000000,33545,36028,33453,35521,94147794.9119
1612310400000,35521,37718,35409,37687,112105509.7705
1612396800000,37687,38774,36178,36980,129783626.9651
1612483200000,36980,38367,36609,38346,105762119.6215
1612569600000,38333,40999,38258,39256,160005058.1182
1612656000000,39256,39747,37400,38867,180477605.8349
1612742400000,38867,46864,38046,46427,293545727.46825
1612828800000,46428,48273,45075,46486,198416123.1326
1612915200000,46486,47381,43682,44834,182403788.375
1613001600000,44834,48736,44015,48029,188923455.5619
1613088000000,48029,49047,46174,47388,184272285.3021
1613174400000,47388,48204,46232,47215,143857305.5176
1613260800000,47215,49748,47071,48650,166670619.8219
1613347200000,48650,49044,45646,47910,173358268.3834
1613433600000,47910,50666,47033,49152,246158492.506
