date,open,high,low,close,volume
1623283200000,7.132,7.4965,6.9325,7.238,312967.3017
1623369600000,7.238,7.263,6.876,7.212,441928.262
1623456000000,7.212,7.2335,6.75,6.9665,158885.95735
1623542400000,6.9665,7.1625,6.751,7.0185,264655.9174
1623628800000,7.0235,7.1075,6.75,6.938,430644.6688
1623715200000,6.938,7.0245,6.76,6.7875,204298.2917
1623801600000,6.7875,6.908,6.6,6.6445,257226.2339
1623888000000,6.6445,6.858,6.619,6.815,163874.68675
1623974400000,6.815,6.95,6.1,6.3575,666063.82765
1624060800000,6.357,6.7925,6.133,6.182,307505.5838
1624147200000,6.182,6.4175,6,6.22,661840.7149
1624233600000,6.22,6.22,5.194,5.4315,3099625.673
1624320000000,5.4315,5.86,5,5.3805,1451968.57205
1624406400000,5.3805,5.88,5.2755,5.728,483098.11675
1624492800000,5.728,5.999,5.55,5.703,283679.9369
1624579200000,5.703,6.058,5.3035,5.47,1298362.86735
1624665600000,5.47,5.618,4.702,4.85,1092187.40645
1624752000000,4.8835,5.3015,4.754,5.249,1338399.0229
1624838400000,5.249,6.1665,5.2005,5.9625,893949.67355
1624924800000,5.9625,6.386,5.9505,6.207,264861.75675
1625011200000,6.207,6.388,5.914,6.338,236217.94345
1625097600000,6.338,6.3395,5.791,5.955,322303.78635
1625184000000,5.955,6.394,5.631,6.2035,766834.14605
1625270400000,6.2035,6.97,5.899,6.795,777576.4935
1625356800000,6.795,7.0855,6.748,6.933,371763.4208
1625443200000,6.933,7.0995,6.5805,6.7905,343707.63645
1625529600000,6.7905,7,6.7625,6.851,142238.6335
1625616000000,6.851,7.015,6.78,6.8275,89221.50185
1625702400000,6.8275,6.834,6.338,6.4565,302397.61065
1625788800000,6.4565,6.585,6.1545,6.4475,709947.2238
1625875200000,6.4475,6.504,6.0895,6.2175,220430.7597
1625961600000,6.2195,6.237,5.99,6.1955,107592.54315
1626048000000,6.1955,6.2515,5.7575,5.956,142477.7009
1626134400000,5.956,6.1565,5.813,5.905,1743838.5934
1626220800000,5.905,6,5.0705,5.626,1444223.2786
1626307200000,5.626,5.75,5.331,5.4455,422451.4218
1626393600000,5.4455,5.5265,4.7925,5.2775,740184.5457
1626480000000,5.2795,5.4765,4.711,5.4045,2587073.341
1626566400000,5.4045,5.6355,5.2405,5.3085,655730.25865
1626652800000,5.3085,5.3145,4.449,4.9175,2015273.3309
1626739200000,4.9335,5.06,4.48,4.8375,1596085.0806
1626825600000,4.8375,5.378,4.618,5.263,543689.22475
1626912000000,5.263,5.49,5.1335,5.2865,245814.55455
1626998400000,5.2865,5.973,4.646,5.929,2056938.683
1627084800000,5.929,6,5.7935,5.903,171641.6687
1627171200000,5.903,5.9995,5.787,5.848,92241.1914
1627257600000,5.8505,6.4725,5.8475,6.0135,263839.5418
1627344000000,6.0135,6.0135,5.483,5.94,400920.7404
1627430400000,5.94,6.131,5.75,5.9215,235789.5089
1627516800000,5.9215,6.116,5.621,5.9645,335549.21155
1627603200000,5.9645,6.303,5.6605,6.2755,457706.179
1627689600000,6.2755,6.2925,6.1195,6.2505,232899.1285
1627776000000,6.2505,6.2705,5.9,6.1105,484173.0186
1627862400000,6.1105,6.2515,5.9035,5.9815,243794.66705
1627948800000,5.9815,6.0165,5.58,5.7585,418226.6657
1628035200000,5.7585,6.021,5.676,5.9525,248072.93935
1628121600000,5.9525,6.21,5.5005,6.1555,569158.73215
1628208000000,6.1555,6.3945,5.7555,6.1985,479009.68145
1628294400000,6.1985,6.636,6.1975,6.6095,260767.16575
1628380800000,6.6095,6.6615,6.1215,6.3185,165867.29205
1628467200000,6.3185,6.626,6.169,6.4945,296021.2824
1628553600000,6.4945,6.55,6.3225,6.44,226176.25165
1628640000000,6.44,6.601,6.283,6.4555,504378.30625
1628726400000,6.4555,6.4995,6.06,6.176,280995.04575
1628812800000,6.176,6.441,5.84,6.269,534714.2583
1628899200000,6.269,6.2725,6.063,6.181,186285.81905
1628985600000,6.181,6.304,5.9845,6.264,105911.5084
1629072000000,6.264,6.48,6.0125,6.191,393073.9587
1629158400000,6.191,6.5,6.1155,6.2075,279965.58575
1629244800000,6.2075,6.301,5.71,6.046,456765.48025
1629331200000,6.046,6.3875,5.768,6.1855,1788007.6031
