date,open,high,low,close,volume
1609459200000,9.269,9.445,8.096,8.306,46614133.0231
1609545600000,8.304,9.897,7.901,9.217,79476308.2199
1609632000000,9.217,10.582,8.859,10.218,67618008.3273
1609718400000,10.219,10.592,8.6,9.523,69887792.7762
1609804800000,9.523,10.091,9.007,9.738,47644077.4668
1609891200000,9.738,10.533,9.477,10.093,53430191.487
1609977600000,10.097,10.75,9.363,9.681,50271744.8824
1610064000000,9.681,9.826,8.8,9.303,40244052.6595
1610150400000,9.303,9.91,9.046,9.781,24958026.075
1610236800000,9.781,10.043,8.641,9.307,41557295.4943
1610323200000,9.307,9.335,7.1,8.262,79836846.5273
1610409600000,8.262,8.71,7.925,8.307,30855788.4531
1610496000000,8.307,11.417,7.99,10.962,66742103.7142
1610582400000,10.962,14.708,10.9,14.427,122043518.1089
1610668800000,14.427,14.951,11.809,13.156,136306463.3203
1610755200000,13.156,19.454,13.156,17.923,221316241.7009
1610841600000,17.923,18.309,16.315,17.084,166318029.4254
1610928000000,17.084,18.23,15.785,16.614,94042415.0873
1611014400000,16.614,17.565,16.008,16.416,108587810.297
1611100800000,16.416,18.25,14.786,18.01,113636970.0039
1611187200000,18.01,18.204,14.927,16.003,159041425.7091
1611273600000,16.003,18.023,14.659,17.129,111744627.985
1611360000000,17.129,18.866,16.8,18.785,94186879.1388
1611446400000,18.785,18.795,17.253,18.004,58570338.9198
1611532800000,18.004,19.173,17.06,17.194,74741734.9867
1611619200000,17.194,17.787,16.026,17.123,61754795.0551
1611705600000,17.123,17.15,15.053,15.468,75248674.1391
1611792000000,15.468,17.527,15.294,16.922,51338550.7218
1611878400000,16.922,17.82,16.018,16.826,66050427.8697
1611964800000,16.826,17.096,16.138,16.56,24522923.5626
1612051200000,16.56,17.575,15.671,16.156,47958939.8668
1612137600000,16.156,16.587,15.704,16.473,26615405.564
1612224000000,16.472,17.718,16.054,17.224,60203999.3944
1612310400000,17.224,21.01,16.85,20.921,123509291.4495
1612396800000,20.921,21.874,19.032,19.723,136557907.4947
1612483200000,19.723,21.464,19.388,20.869,99190999.0083
1612569600000,20.869,21.479,19.81,20.424,63472414.5876
1612656000000,20.433,20.842,18.476,19.814,100141270.0212
1612742400000,19.814,23.877,19.215,23.103,149090163.6324
1612828800000,23.103,24.281,22.096,23.19,101726788.6416
1612915200000,23.191,25,21.56,23.649,121940316.1885
1613001600000,23.649,25.769,23.245,25.114,101898493.4083
1613088000000,25.114,29.9,24.496,28.728,127030537.3302
1613174400000,28.729,30.292,27.336,28.145,120120599.3048
1613260800000,28.145,29.509,26.421,26.974,93798753.2282
1613347200000,26.974,29.652,23.268,27.848,155020427.2311
1613433600000,27.848,31.106,26.828,30.164,152715470.8267
1613520000000,30.164,32.569,29.571,32.056,144552153.4586
1613606400000,32.056,32.737,30.54,31.124,78369985.7952
1613692800000,31.124,35.148,29.55,34.958,127196215.0051
1613779200000,34.958,42.327,34.819,38.954,291888624.5787
1613865600000,38.954,40.695,38.026,39.727,153780370.3748
1613952000000,39.727,39.893,30.99,37.715,250627252.9958
1614038400000,37.715,37.939,26.7,34.612,314712296.3951
1614124800000,34.612,36.909,31.853,33.689,181359162.7588
1614211200000,33.689,35.305,30.844,31.237,137174587.3926
1614297600000,31.237,33.571,27.98,31.461,182380524.0936
1614384000000,31.461,35.733,31.336,33.498,175692503.7063
1614470400000,33.498,34.569,29.7,33.815,171757117.3359
1614556800000,33.815,35.757,33.042,35.723,129276812.9103
1614643200000,35.723,38.068,34.388,36.176,143418004.0496
1614729600000,36.176,38.767,36.127,37.047,117925959.6137
1614816000000,37.047,38.448,34.376,35.294,96835962.9295
1614902400000,35.294,35.317,31.322,33.672,96126672.0847
1614988800000,33.672,34.261,32.066,33.425,36544215.6985
1615075200000,33.425,35.4,33.425,35.174,47376132.6572
1615161600000,35.174,35.63,33.472,35.08,59574531.8935
1615248000000,35.08,39.093,34.616,38.376,120232400.5008
1615334400000,38.376,39.75,36.357,37.665,155753997.3237
1615420800000,37.665,38.141,35.908,37.045,96834094.6079
1615507200000,37.045,37.589,34.4,35.993,85519657.8689
1615593600000,36.012,38.387,34.74,37.235,95650617.4669
1615680000000,37.235,38.056,36.301,36.44,67762101.6673
1615766400000,36.44,38.656,33.32,34.311,144311903.6058
1615852800000,34.311,35.58,32.015,35.442,104933680.879
1615939200000,35.442,36.52,34.403,36.116,83842216.0491
1616025600000,36.116,37.056,35.301,35.358,72996966.2034
1616112000000,35.359,39.018,34.396,38.289,121635872.2996
1616198400000,38.288,40.268,37.146,37.289,117987271.6568
1616284800000,37.289,38.132,36.131,36.742,85301167.5739
1616371200000,36.746,37.858,35.042,35.257,112167934.4086
1616457600000,35.257,36.328,33.6,34.194,121472965.1461
1616544000000,34.194,36.213,27.288,30.088,185101518.6499
