date,open,high,low,close,volume
1631059200000,8.0935,18,7.0935,13.079,130625846.1485
1631145600000,13.079,16.1,10.664,13.007,193547894.1298
1631232000000,13.007,14.5,9.824,10.465,99291519.2121
1631318400000,10.465,12.797,10.28,10.95,72230500.2849
1631404800000,10.95,12.75,10.64,11.321,48228961.9692
1631491200000,11.319,11.503,9.117,10.443,66723570.985
1631577600000,10.442,12.199,10.012,11.717,56481307.9951
1631664000000,11.715,12.5,10.98,11.618,35742173.8657
1631750400000,11.618,16.968,11.61,15.408,158860687.3237
1631836800000,15.408,18.4,14.936,16.48,220990125.758
1631923200000,16.516,18.044,15.517,16.097,121304472.0755
1632009600000,16.097,16.363,13.852,14.265,107002778.6268
1632096000000,14.265,14.286,11.216,11.847,167193810.9577
1632182400000,11.847,13.7,10.815,12.573,165743678.1197
1632268800000,12.573,14.997,12.261,14.66,132112684.9994
1632355200000,14.66,15.018,13.1,14.092,80289146.2077
1632441600000,14.092,14.176,11.111,12.117,96067862.8481
1632528000000,12.117,14.332,11.457,13.986,81573187.6518
1632614400000,13.986,19.671,12.82,19.325,321237315.3597
1632700800000,19.325,22.93,18.723,20.96,340448861.5932
1632787200000,20.96,23.622,19.188,22.561,356330846.6468
1632873600000,22.561,26.862,21.443,26.69,355734165.681
1632960000000,26.69,27.8,23.12,23.586,237677713.0609
1633046400000,23.586,25.178,21.204,22.343,230774476.6473
1633132800000,22.343,24.449,21.758,23.245,157909552.4744
1633219200000,23.245,23.909,21.33,23.599,134733593.614
1633305600000,23.599,26.446,22.605,23.457,269238100.4218
1633392000000,23.457,24.534,22.06,22.631,131944742.9663
1633478400000,22.634,23.603,20.56,23.032,171161229.5104
1633564800000,23.032,24.97,21.545,21.782,146485224.0824
1633651200000,21.782,22.832,21.096,21.996,82289096.1836
1633737600000,21.996,23.06,21.366,21.868,71379201.0991
1633824000000,21.868,24.95,21.12,22.585,172587175.7463
1633910400000,22.585,26.1,22.083,23.652,209656109.066
1633996800000,23.652,23.652,21.3,22.325,116773206.5584
1634083200000,22.325,24.867,21.605,22.382,134240182.5788
1634169600000,22.382,24,22.292,23.62,80301121.3651
1634256000000,23.62,24.378,22.24,22.66,90928940.974
1634342400000,22.66,23.38,22.063,22.368,57335998.8103
1634428800000,22.368,22.75,19.873,21.076,81835952.6714
1634515200000,21.076,21.553,19.608,20.14,87321006.5777
1634601600000,20.14,20.728,18.58,19.192,85514774.3474
1634688000000,19.192,20.969,18.51,20.03,101260044.3764
1634774400000,20.03,20.925,18.833,19.386,109722455.8079
1634860800000,19.386,20.466,19,20.33,82397294.2155
1634947200000,20.33,20.807,19.304,19.424,61456359.6005
1635033600000,19.424,19.671,16.642,17.955,96351750.1426
1635120000000,17.955,19.442,17.682,18.879,88061553.824
1635206400000,18.879,19.389,17.446,17.856,101352619.6867
1635292800000,17.864,19.265,14.769,15.144,169307609.5789
1635379200000,15.145,16.387,14.652,15.816,108718350.6262
1635465600000,15.816,17.169,15.687,16.124,69711458.502
1635552000000,16.124,16.273,15.173,15.579,56808278.1714
1635638400000,15.579,15.903,14.528,15.194,59299941.2815
1635724800000,15.194,18.133,14.868,17.305,164005866.3761
1635811200000,17.306,17.531,15.743,16.409,80519743.2357
1635897600000,16.409,16.982,15.468,16.242,80361460.4758
1635984000000,16.242,16.264,15.021,15.697,73686249.7021
1636070400000,15.697,16.22,15.265,16.073,78738362.8519
1636156800000,16.073,16.515,15.122,15.833,72287071.6178
1636243200000,15.833,17.733,15.66,16.838,110134350.7158
1636329600000,16.838,18.599,16.56,17.364,119037104.5905
1636416000000,17.364,17.824,16.232,16.625,74414964.0351
1636502400000,16.625,17.198,12.702,14.797,94644870.9361
1636588800000,14.797,15.404,14.559,14.821,42323958.3096
1636675200000,14.821,16.044,13.857,14.455,54553421.9553
1636761600000,14.455,14.986,14.31,14.805,26060451.3278
1636848000000,14.805,15.499,14.3,14.806,27689481.9432
1636934400000,14.806,15.141,14.105,14.284,24015373.7041
1637020800000,14.284,14.284,11.377,12.588,84474349.7693
1637107200000,12.588,13.717,11.9,13.45,59423518.9448
1637193600000,13.45,13.775,11.604,12.312,57497857.8374
1637280000000,12.312,14.32,12.119,14.089,62285437.363
1637366400000,14.089,14.691,13.244,14.052,46311064.3808
1637452800000,14.052,14.386,13.018,13.154,33037302.5794
1637539200000,13.154,14.986,12.411,14.178,99665975.1535
1637625600000,14.178,16.392,13.75,15.687,154608222.8592
1637712000000,15.687,16.427,14.122,14.919,91193891.9635
1637798400000,14.915,15.445,14.267,15.003,56705149.5964
1637884800000,15.003,15.79,12.474,12.849,102635702.4036
1637971200000,12.849,13.49,12.552,12.986,27946242.9793
1638057600000,12.983,13.011,11.3,12.621,45215010.9709
1638144000000,12.621,12.915,12.172,12.572,24302916.4306
1638230400000,12.572,13.3,12.001,12.577,41760543.5208
1638316800000,12.577,13.691,12.41,12.938,42839082.054
1638403200000,12.938,14.932,12.513,13.339,73364055.3354
1638489600000,13.339,13.778,11.71,12.321,43374203.7421
1638576000000,12.321,12.465,7.24,9.847,104124003.6395
1638662400000,9.847,10.201,8.247,8.709,53719736.2524
1638748800000,8.709,9.332,7.831,9.212,80409335.9062
1638835200000,9.212,9.555,8.675,8.943,30854296.6451
1638921600000,8.943,9.862,8.811,9.718,39943534.3079
1639008000000,9.718,9.75,8.416,8.569,25741998.2842
1639094400000,8.569,9.691,8.538,9.098,45422343.0641
1639180800000,9.098,9.43,8.757,9.248,24858117.1793
1639267200000,9.248,9.271,8.731,9.001,11030381.4125
1639353600000,9.002,9.108,7.58,8.125,23109097.6736
1639440000000,8.125,8.5,7.814,8.262,20110262.0919
1639526400000,8.262,8.966,7.733,8.582,25439536.8404
1639612800000,8.582,8.826,8.001,8.025,14505049.3485
1639699200000,8.025,8.175,7.515,7.83,16294791.3027
1639785600000,7.83,8.257,7.733,8.112,17325427.0691
1639872000000,8.112,8.371,7.821,7.838,13416901.2885
1639958400000,7.838,7.869,7.114,7.401,17893661.0019
1640044800000,7.401,7.633,7.285,7.516,13160874.0101
1640131200000,7.516,8.596,7.498,8.241,28347803.8835
1640217600000,8.241,9.013,8.018,8.838,27401870.491
1640304000000,8.838,9.489,8.539,8.709,28138975.7945
1640390400000,8.709,9.19,8.621,8.997,13601671.646
1640476800000,8.997,9.326,8.603,9.247,13187842.3379
1640563200000,9.247,10.653,9.093,10.011,41632128.1852
1640649600000,10.011,10.717,9.122,10.168,89494427.4347
1640736000000,10.168,10.717,8.45,8.744,53293620.8402
1640822400000,8.744,9.069,8.258,8.387,38187997.6656
1640908800000,8.387,8.711,7.861,8.088,29686024.6582
1640995200000,8.088,8.507,8.087,8.455,16443440.0122
1641081600000,8.455,8.872,8.286,8.697,23257335.1706
1641168000000,8.696,8.704,8.01,8.305,25555862.9537
1641254400000,8.305,8.633,8.054,8.234,22073541.8548
1641340800000,8.234,9.171,7.321,7.795,48126498.1528
1641427200000,7.795,7.868,7.23,7.614,29328965.7656
1641513600000,7.614,7.641,6.725,7.079,36476840.2217
1641600000000,7.079,7.3,6.398,6.728,28621972.897
1641686400000,6.728,6.959,6.535,6.738,17031294.1402
1641772800000,6.738,6.859,5.922,6.368,27744246.606
1641859200000,6.368,7.189,6.302,7.112,26320524.7428
1641945600000,7.112,7.879,7.08,7.757,27614549.1588
1642032000000,7.757,8.261,7.518,7.619,34309154.8761
1642118400000,7.619,8.137,7.415,7.673,21850672.5041
