date,open,high,low,close,volume
1636502400000,56.855,85.87,55.74,73.965,129272250.8674
1636588800000,73.96,86.485,54.705,55.435,126977946.8628
1636675200000,55.435,65.005,51.375,54.62,59340087.7691
1636761600000,54.62,63.575,48.04,55.65,52356318.2106
1636848000000,55.65,62.57,52.735,56.34,35335426.64595
1636934400000,56.34,60.395,50.115,55.735,44005842.6177
1637020800000,55.735,56,47.79,48.18,46937788.73845
1637107200000,48.18,50.6,45.305,48.175,27376382.6986
1637193600000,48.175,51,39.92,41.325,32302459.53905
1637280000000,41.325,51.07,38.32,47.9,26197209.31305
1637366400000,47.9,49.44,44.6,46.795,10013206.19625
1637452800000,46.795,46.86,41.475,42.175,13536651.7735
1637539200000,42.175,46.5,39.97,41.015,21074605.8898
1637625600000,41.015,52.93,40.475,50.815,53694763.9641
1637712000000,50.815,51.245,45.98,49.325,23604522.57365
1637798400000,49.325,73.06,48.425,68.57,108413104.41525
1637884800000,68.57,76.295,56.295,59.5,94471693.9621
1637971200000,59.5,83.9,59.085,73.57,130070845.09395
1638057600000,73.94,76.74,65.13,76.31,66963986.17445
1638144000000,76.31,83.8,69.31,70.335,59751523.3451
1638230400000,70.335,78.375,66.02,70.07,42646698.0206
1638316800000,70.07,75.14,63.31,64.91,30650309.2971
1638403200000,64.91,64.945,58.645,61.735,23086615.09605
1638489600000,61.735,63.335,50,54.22,29845756.51255
1638576000000,54.22,54.925,37.685,50.845,36495311.5508
1638662400000,50.845,54.755,45.44,49.335,20814928.31445
1638748800000,49.335,51.66,42.39,51.475,16914479.6446
1638835200000,51.56,54.11,48.24,50.695,18888410.4504
1638921600000,50.695,52.43,47.27,49.345,11475902.87
1639008000000,49.345,50.78,44.655,44.905,11605204.07585
1639094400000,44.905,46.835,42.42,42.59,9188032.34745
1639180800000,42.565,49.17,41.5,47.485,18515399.67545
1639267200000,47.485,47.745,44.13,47.06,10927017.53395
1639353600000,47.06,47.12,39.335,39.96,13591394.2758
1639440000000,39.96,41.755,37.725,39.905,12491026.35025
1639526400000,39.905,44.465,37.025,42.465,15857148.8942
1639612800000,42.465,48,42.34,44.335,26315494.9577
1639699200000,44.335,46.7,40.135,42.2,18505152.75195
1639785600000,42.2,44.055,40.525,42.625,7280966.9414
1639872000000,42.625,43.785,40.61,40.82,4836407.56075
1639958400000,40.82,41.645,37.36,40.435,8513408.828
1640044800000,40.435,42.125,39.67,40.97,5997496.0688
1640131200000,40.97,46.23,40.73,45.16,14437638.89125
1640217600000,45.16,49.825,42.87,49.545,19095142.48585
1640304000000,49.545,49.635,44.77,45.695,11885018.746
1640390400000,45.695,48.19,44.875,46.485,8264229.93735
1640476800000,46.485,46.875,43.805,45.78,6391085.7238
1640563200000,45.78,48.19,44.03,44.42,8270821.41725
1640649600000,44.42,44.42,38.88,39.71,15703272.78335
