date,open,high,low,close,volume
1563580800000,225.93,235.52,221.63,228.76,351861.37936
1563667200000,228.76,229.96,217.72,225.51,36855.11088
1563753600000,225.51,228.33,212,217.19,259523.19569
1563840000000,217.19,219.25,208.53,211.92,905194.02875
1563926400000,211.92,218.19,200.4,216.46,644354.32163
1564012800000,216.46,226,215.6,219.17,184366.90298
1564099200000,219.17,220.23,213.29,219.16,104434.69835
1564185600000,219.16,225.33,202.59,207.02,267252.65852
1564272000000,207.01,218,197.79,211.35,175470.49159
1564358400000,211.38,215.18,206.6,210.7,312387.84076
1564444800000,210.7,214.47,204.49,209.94,358634.25991
1564531200000,209.94,219.07,209.69,218.68,1759007.41916
1564617600000,218.68,219.4,211.04,217.5,1967907.45283
1564704000000,217.37,222.8,213.51,217.8,3366258.53011
1564790400000,217.8,224.73,216.82,222.22,1361332.86484
1564876800000,222.22,223.84,217.69,222.7,930769.66635
1564963200000,222.7,237.07,222.66,233.46,3910937.22168
1565049600000,233.46,239.68,222.9,226.06,2047251.26531
1565136000000,226.06,231.63,220.64,226.14,1695346.98785
1565222400000,226.14,226.81,215.42,221.28,1249768.26154
1565308800000,221.28,221.68,206.86,210.15,323937.70643
1565395200000,210.15,214.78,200.54,205.89,1243067.97154
1565481600000,205.99,216.65,205.63,216.39,229600.3923
1565568000000,216.39,216.55,209.76,211.32,248887.2859
1565654400000,211.32,211.4,204.35,208.71,12276940.08487
1565740800000,208.71,209.3,182.02,186.34,10724726.64308
1565827200000,186.16,189.22,173.83,187.91,2980037.0168
1565913600000,187.91,188.08,176,185.14,6630179.21698
1566000000000,185.14,186.83,182.04,185.56,14483058.65592
1566086400000,185.56,198.15,183.32,194.66,11606924.44538
1566172800000,194.66,203.6,193.07,202.51,6838534.47518
1566259200000,202.51,202.85,194.75,196.74,6113346.71215
1566345600000,196.74,197.17,180.37,187.32,3292235.3111
1566432000000,187.32,195.12,182.82,190.64,3332278.53765
1566518400000,190.64,196.62,188.68,194.67,1766106.45734
1566604800000,194.67,194.7,186.02,191.06,2049958.61177
1566691200000,191.06,192.85,182.95,186.68,2462536.11004
1566777600000,186.7,195.1,185.8,188.47,4811898.22124
1566864000000,188.5,189.19,184.56,187.2,2268737.14415
1566950400000,187.2,188.19,164.3,172.87,4250531.26613
1567036800000,172.87,173.34,163.65,168.77,3583139.93628
1567123200000,168.79,170.24,165.44,168.23,2806303.06109
1567209600000,168.23,174.77,165.82,171.76,3254514.21098
1567296000000,171.76,173.56,167.96,171.17,2284096.6497
1567382400000,171.17,181.43,170.36,178.72,940672.16431
1567468800000,178.72,183.42,174.55,179.03,4070084.87721
1567555200000,179.03,180.43,173.97,174.97,783478.58352
1567641600000,174.97,175.91,169.59,174.13,1368737.56742
1567728000000,174.13,178.57,165.01,169.21,1270769.24143
1567814400000,169.21,181.26,168.49,178.18,620686.19233
1567900800000,178.18,184.85,176.75,181.61,2115785.49411
1567987200000,181.56,185.92,176.29,180.9,3471246.58646
1568073600000,180.89,184.67,176.58,179.9,7728889.99648
1568160000000,179.9,182.73,173.67,178.5,5198888.25378
1568246400000,178.5,182.95,176.72,181.15,2155594.89746
1568332800000,181.15,181.98,177.67,181.54,2758653.08206
1568419200000,181.54,189.29,180.28,188.87,4030906.37757
1568505600000,188.88,191.03,186.37,189.39,2803170.02953
1568592000000,189.39,199.62,188.49,197.69,5904988.02046
1568678400000,197.69,215.22,196.32,208.01,16448367.76473
1568764800000,208.01,217.35,207.95,210.37,9038964.21982
1568851200000,210.37,224.54,202.41,221.06,13195235.46188
1568937600000,221.06,233.06,211.91,218.14,7180215.28717
1569024000000,218.14,221.57,213.3,215.02,4108739.47437
1569110400000,215.02,215.57,206.17,211.35,7489815.90211
1569196800000,211.31,211.92,198.07,201.29,8266275.84036
1569283200000,201.17,202.68,143.64,166.43,25890979.9345
1569369600000,166.13,174.92,162.32,170.1,10466498.49008
1569456000000,170.08,171,151.85,166,7604828.71392
1569542400000,166,177.07,161.05,174.12,8004248.69628
1569628800000,174.12,175.75,168.29,173.79,5086790.03594
1569715200000,173.79,174.76,164.4,169.4,4150809.52761
1569801600000,169.4,181.73,165.18,181.27,7997558.33728
1569888000000,181.26,185.75,173.43,176.13,5998411.01055
1569974400000,176.07,181.62,174.14,180.79,2767961.38525
