date,open,high,low,close,volume
1609459200000,5.768,5.909,5.699,5.827,3010997.186
1609545600000,5.827,6.298,5.741,6.198,7453317.965
1609632000000,6.198,7.043,6.168,6.96,14096325.05
1609718400000,6.96,7.693,6.294,7.542,10972025.86
1609804800000,7.542,8.729,6.972,8.68,18976360.33
1609891200000,8.68,9.407,8.4,9.397,9251998.163
1609977600000,9.397,10.131,9.1,9.577,14772412.171
1610064000000,9.577,9.744,8.417,9.368,11156812.1228
1610150400000,9.368,9.75,8.69,9.575,12791551.9107
1610236800000,9.575,9.958,8.6,9.278,9124305.9114
1610323200000,9.279,9.291,7.05,8.618,19842941.5984
1610409600000,8.618,9.13,8.009,8.415,6696482.6179
1610496000000,8.415,9.333,7.981,9.192,6220380.9213
1610582400000,9.192,9.89,8.95,9.651,4657116.3819
1610668800000,9.651,9.801,8.526,9.162,4134293.4037
1610755200000,9.162,9.73,9.04,9.421,3559953.9564
1610841600000,9.421,10.254,8.87,10.005,5320618.7078
1610928000000,10.005,10.725,9.891,10.708,9038103.3706
1611014400000,10.708,11.298,10.502,10.629,7917730.5618
1611100800000,10.629,10.755,9.643,10.491,7849479.0802
1611187200000,10.491,10.526,8.612,8.841,6684636.5178
1611273600000,8.841,10.161,8.193,9.877,7327350.4644
1611360000000,9.877,10.065,9.439,9.747,4115240.2076
1611446400000,9.747,10.359,9.656,10.345,3350820.9561
1611532800000,10.345,10.754,9.622,9.785,7841102.9761
1611619200000,9.785,10.311,9.396,10.264,7949338.8288
1611705600000,10.267,10.284,9.142,9.597,5615075.5346
1611792000000,9.597,11.759,9.373,11.603,11040529.0904
1611878400000,11.603,13.099,11.069,11.817,12663479.0713
1611964800000,11.817,12,11.021,11.519,5829433.9031
1612051200000,11.519,11.586,10.847,11.082,4111307.0344
1612137600000,11.087,11.907,10.815,11.886,6988103.9014
1612224000000,11.886,12.885,11.881,12.723,7524068.6466
1612310400000,12.723,13.395,12.718,13.383,12983380.7201
1612396800000,13.383,13.683,12.82,13.255,9326543.5875
1612483200000,13.255,14.866,13.255,14.858,11765536.3656
1612569600000,14.858,15.546,14.371,14.596,13465163.9044
1612656000000,14.596,14.722,13.412,14.4,12588369.2112
1612742400000,14.4,16.857,14.15,16.827,14039184.9106
1612828800000,16.827,19.037,16.595,18.833,26822900.387
1612915200000,18.833,22.431,18.768,20.418,37126068.0935
1613001600000,20.418,21.62,19.731,20.868,13614093.7596
1613088000000,20.868,21.406,20.129,21.194,8799280.6905
1613174400000,21.194,21.329,19.544,20.736,10656062.6507
1613260800000,20.736,21.501,20.383,20.691,6405492.9033
1613347200000,20.691,20.856,18.5,20.198,12347184.8647
1613433600000,20.198,21.728,19.7,20.908,17001993.807
1613520000000,20.908,23.969,20.448,23.264,21467181.5144
1613606400000,23.264,26.686,23.264,26.232,20126554.0168
1613692800000,26.232,34.619,26.229,34.609,59316391.6199
1613779200000,34.609,35,29.546,31.515,60114878.614
1613865600000,31.515,34.979,31.183,34.261,39933686.6274
1613952000000,34.261,34.36,27.733,33.41,48468281.4572
1614038400000,33.41,33.49,25.5,28.385,63718810.6204
1614124800000,28.385,31.311,27.094,30.122,28237265.9329
1614211200000,30.122,32.008,28,28.297,31697073.9971
1614297600000,28.297,29.425,26.15,27.704,21931956.1578
1614384000000,27.704,28.906,26.928,27.337,9403571.2758
1614470400000,27.337,27.665,24.315,25.938,21628216.17
1614556800000,25.938,30.192,25.88,29.947,26305372.2173
1614643200000,29.947,31.2,28.883,29.665,20411860.6989
1614729600000,29.665,33.08,29.485,31.184,22212905.8703
1614816000000,31.184,32.15,28.31,29.476,17049777.3684
1614902400000,29.476,29.691,27.935,28.9,23628110.7509
1614988800000,28.9,29.809,27.922,29.59,7717308.2547
1615075200000,29.59,30.98,29.584,30.803,9322079.7443
1615161600000,30.803,32.111,30.039,32.092,15319814.4668
