date,open,high,low,close,volume
1647388800000,0.5075,0.5424,0.4575,0.53915,4403965.74995
1647475200000,0.53915,0.832,0.52425,0.8236,64570350.3627
1647561600000,0.8236,0.83,0.65205,0.69615,75911789.72
1647648000000,0.69615,0.77125,0.64205,0.67115,37793406.15825
1647734400000,0.67115,0.70445,0.5746,0.57885,19617623.1913
1647820800000,0.57885,0.82285,0.57665,0.79605,136780024.6206
1647907200000,0.79605,0.8938,0.7541,0.80595,87568372.3001
1647993600000,0.80595,0.8216,0.7327,0.76935,28975157.06915
1648080000000,0.76935,0.79045,0.69,0.7006,15798838.8054
1648166400000,0.7006,0.7991,0.67285,0.78145,26156772.2471
1648252800000,0.78145,0.83755,0.75045,0.765,15840321.9731
1648339200000,0.765,0.79465,0.73785,0.77215,8143293.9061
1648425600000,0.77215,1.15235,0.7659,1.132,124397456.68435
1648512000000,1.132,1.87995,1.033,1.68115,287111039.27185
1648598400000,1.68115,2.3097,1.61285,2.0349,496623784.75905
1648684800000,2.0349,2.64305,1.78005,2.48495,632554457.65715
1648771200000,2.48495,3.14915,2.376,2.6906,654328457.9114
1648857600000,2.6906,2.89335,2.27,2.3152,354417816.9347
1648944000000,2.3152,2.74065,2.2427,2.45305,281625107.03425
1649030400000,2.45305,2.558,2.05605,2.16715,179346513.479
1649116800000,2.16715,2.32465,2.0855,2.1301,182980078.89285
1649203200000,2.1301,2.7,2.11645,2.3278,455426627.5514
1649289600000,2.3278,2.3686,2.011,2.1893,158276003.8846
1649376000000,2.1893,2.4397,2.0858,2.17655,169844134.8555
1649462400000,2.17655,2.32535,2.1,2.30125,106576124.03345
1649548800000,2.3019,2.39285,2.2066,2.256,131168610.986
1649635200000,2.256,2.69055,2.23925,2.38365,382403136.8297
1649721600000,2.38365,2.39695,2.12525,2.2139,205693670.96305
1649808000000,2.2139,2.24745,2.05,2.17635,110564583.3958
1649894400000,2.17635,2.34865,2.14,2.22535,139242587.49925
1649980800000,2.22535,2.33,2.1707,2.302,99335333.64705
1650067200000,2.302,2.449,2.2411,2.3801,153507431.96105
1650153600000,2.38015,2.6,2.3576,2.4222,200680354.5647
1650240000000,2.4222,3.31,2.2406,3.19215,721411228.9901
1650326400000,3.19215,3.84315,3.14,3.7116,750040553.7501
1650412800000,3.7116,3.8595,3.30295,3.36055,628830471.526
1650499200000,3.36055,3.6,2.96,3.12345,472910417.35925
1650585600000,3.12345,3.28185,3.04915,3.1755,243003345.77385
1650672000000,3.1755,3.4516,3.09525,3.1494,279698842.3162
1650758400000,3.1494,3.4138,3.12925,3.37275,268036538.0028
1650844800000,3.37275,3.405,3.1,3.31725,282450937.5328
1650931200000,3.31725,3.4913,3.1728,3.33605,349313366.3165
1651017600000,3.33605,3.95915,3.2347,3.80935,620101555.39235
1651104000000,3.81005,4.18,3.5648,3.7576,767621931.6697
1651190400000,3.7576,4.14585,3.41475,3.8192,926032160.8821
1651276800000,3.81925,4.06655,3.44,3.49935,530171261.9094
1651363200000,3.49935,3.61,3.29375,3.4351,349591057.3068
1651449600000,3.4351,3.545,3.1312,3.2438,273213525.27235
1651536000000,3.2438,3.4536,3.1807,3.24635,258406694.56235
1651622400000,3.24635,3.42,3.16,3.34165,282974647.4174
1651708800000,3.34165,3.4093,2.53125,2.7383,388026882.07465
1651795200000,2.7383,2.7486,2.34025,2.5206,322295083.97085
1651881600000,2.5206,2.838,2.38865,2.5609,418455096.38035
1651968000000,2.5609,2.77865,2.4546,2.7183,279834797.78905
1652054400000,2.7183,2.7468,1.735,1.7675,406504786.6439
1652140800000,1.7675,2.18,1.61665,1.79925,506645313.56475
1652227200000,1.79925,1.8767,1.084,1.3119,609179115.8733
1652313600000,1.3119,1.50835,0.7944,1.15845,548771985.9805
1652400000000,1.15845,1.75945,1.12335,1.4855,474442865.8163
1652486400000,1.4855,1.5883,1.24745,1.53085,277582921.13885
1652572800000,1.53085,1.6632,1.3935,1.6162,281292280.92525
1652659200000,1.6162,1.6165,1.3764,1.4299,189384050.2863
1652745600000,1.4299,1.7,1.41915,1.58355,253622628.43435
1652832000000,1.58355,1.64885,1.30205,1.3806,260729152.37495
1652918400000,1.3806,1.57525,1.267,1.498,260726098.13435
1653004800000,1.498,1.584,1.29485,1.34025,271141778.7194
1653091200000,1.34025,1.436,1.30375,1.35495,149891169.90685
1653177600000,1.35495,1.44535,1.3416,1.4172,101129771.3903
1653264000000,1.4169,1.54,1.34055,1.369,178123234.62885
1653350400000,1.36895,1.41575,1.28075,1.39825,99831957.22855
1653436800000,1.39825,1.43295,1.35305,1.375,86307300.1623
1653523200000,1.375,1.3884,0.82535,0.8955,546599895.08635
1653609600000,0.8955,1.14755,0.796,1.03635,621631433.9342
1653696000000,1.03635,1.0727,0.98525,1.0326,183171487.6068
1653782400000,1.0326,1.1629,0.8604,1.07555,394357839.52255
1653868800000,1.07555,1.3041,1.0402,1.2461,348548310.8905
1653955200000,1.2461,1.2893,1.112,1.18095,226939858.01665
1654041600000,1.18095,1.19515,0.965,1.015,499163211.95785
1654128000000,1.015,1.08,0.9244,1.05045,175584721.3427
1654214400000,1.05045,1.0722,0.9798,1.01045,114301235.01215
1654300800000,1.01045,1.02135,0.98305,0.99615,42079801.2539
1654387200000,0.99615,0.99845,0.8983,0.9332,82595936.36875
1654473600000,0.9332,1.061,0.92645,1.004,101149605.10675
1654560000000,1.004,1.0142,0.9302,0.9563,75605542.972
1654646400000,0.9563,1.06405,0.9315,0.9668,101976662.8085
1654732800000,0.9668,1.04615,0.9484,0.99085,70315019.3065
1654819200000,0.99075,0.9963,0.88015,0.90585,73927003.102
1654905600000,0.90585,0.932,0.77075,0.79785,76120846.72915
1654992000000,0.79785,0.8054,0.66055,0.6618,148520247.2333
1655078400000,0.66145,0.67455,0.5324,0.59005,209127567.33345
1655164800000,0.58995,0.70195,0.56045,0.6328,178211568.7784
1655251200000,0.6328,0.6857,0.56335,0.6799,172182091.06425
1655337600000,0.6799,0.6949,0.583,0.5931,99904165.00965
1655424000000,0.5931,0.6386,0.58385,0.6151,61706480.90215
1655510400000,0.6151,0.6279,0.5489,0.5997,77170015.99615
1655596800000,0.5997,0.78985,0.58375,0.7478,83218623.37385
1655683200000,0.7478,0.8281,0.70605,0.7575,114165188.2933
1655769600000,0.7575,0.84705,0.74225,0.76585,95191136.1099
1655856000000,0.76585,0.80645,0.72705,0.7291,74187381.9032
1655942400000,0.72925,0.82005,0.72475,0.8146,54669796.7242
1656028800000,0.8146,0.85835,0.7988,0.8338,54842284.6673
1656115200000,0.8338,1.0021,0.81275,0.98545,74945782.25635
1656201600000,0.98545,1.1086,0.935,0.93895,149136472.46845
1656288000000,0.93895,1.01625,0.9193,0.989,87899642.63585
1656374400000,0.9887,1.00195,0.8694,0.8755,74701137.83145
1656460800000,0.8755,0.92185,0.84925,0.8821,59348893.8191
1656547200000,0.88215,0.8849,0.76265,0.8429,82985356.27825
1656633600000,0.8429,0.8874,0.802,0.8269,77968360.8081
1656720000000,0.8269,0.8377,0.7694,0.8084,37128160.37225
1656806400000,0.8084,0.8401,0.7869,0.8099,30487786.01115
1656892800000,0.8099,0.89195,0.7898,0.88775,46338280.9611
1656979200000,0.88775,0.98555,0.87,0.901,95173090.2927
1657065600000,0.901,0.98515,0.8812,0.9631,73162181.78975
1657152000000,0.9631,1.0539,0.9415,1.0114,63007180.8585
1657238400000,1.0114,1.0467,0.9595,1.0018,66580759.8793
1657324800000,1.0018,1.0462,0.98645,0.99985,32801967.3095
1657411200000,0.99985,1.00875,0.93355,0.94965,34659969.3534
1657497600000,0.94965,0.95005,0.82505,0.82995,55412131.0656
1657584000000,0.82995,0.87415,0.8264,0.84675,59683259.0998
1657670400000,0.84675,0.8879,0.80245,0.88265,82937160.48995
1657756800000,0.88265,0.94895,0.87215,0.94085,53651897.16915
1657843200000,0.94085,0.9556,0.9123,0.9186,37863237.5544
1657929600000,0.91855,0.9623,0.88295,0.9315,50388707.02955
1658016000000,0.9315,0.9448,0.89225,0.898,40403948.81055
1658102400000,0.89795,1.1377,0.8956,1.128,123548150.98995
1658188800000,1.128,1.1657,1.02275,1.05405,89073102.56405
1658275200000,1.05395,1.098,0.9644,0.97845,67477980.44215
1658361600000,0.97845,1.00845,0.9407,0.99355,53776307.7184
1658448000000,0.99355,1.03555,0.9277,0.94535,47855503.62185
1658534400000,0.94535,0.96615,0.9033,0.94415,43888439.0951
1658620800000,0.94415,1.00125,0.94405,0.9698,46605108.4887
1658707200000,0.9698,0.98425,0.91295,0.916,54203586.3576
1658793600000,0.916,0.9173,0.84445,0.8986,40709824.6312
1658880000000,0.8986,0.91725,0.8803,0.8873,22421023.8719
