date,open,high,low,close,volume
1641859200000,2.8,3.96525,2.68575,2.7225,36648536.7875
1641945600000,2.7225,4.4375,2.542,3.584,125428052.93475
1642032000000,3.584,4.79,3.562,3.93,98524585.227
1642118400000,3.93,4.289,3.07425,3.37475,75572145.80675
1642204800000,3.37475,3.946,3.275,3.66075,39999454.0525
1642291200000,3.66075,5.035,3.605,4.56575,76136167.23475
1642377600000,4.56575,4.909,4.125,4.28125,73357767.129
1642464000000,4.28125,5.14,4.0575,4.8675,84439250.9685
1642550400000,4.8675,6.0155,4.73225,5.59325,154866186.33325
1642636800000,5.59325,6.99,5.43,5.46475,253485541.9275
1642723200000,5.46475,5.99,3.9435,4.00225,265565403.512
1642809600000,4.00225,4.448,3.19,3.866,167774572.86775
1642896000000,3.866,4.42,3.70475,4.22,70275910.35375
1642982400000,4.22,4.236,3.1,3.611,98365639.62075
1643068800000,3.611,3.988,3.52375,3.66925,62623177.90425
1643155200000,3.66925,4.323,3.5305,3.6895,52437371.175
1643241600000,3.6895,4.19825,3.51,3.92925,56881788.8485
1643328000000,3.92925,4.92875,3.847,4.867,85824324.26825
1643414400000,4.867,5.25,4.5925,4.9235,78575703.41925
1643500800000,4.9235,4.98,4.07575,4.3095,50074419.2405
1643587200000,4.3095,4.744,3.951,4.6995,57212834.6105
1643673600000,4.6995,5.6455,4.562,5.48675,94328637.756
1643760000000,5.48175,5.5355,4.80175,5.01575,93496053.6835
1643846400000,5.01575,5.17,4.26625,4.74675,79350549.27625
1643932800000,4.748,5.0975,4.2785,4.83125,90127608.7835
1644019200000,4.83125,5.09175,3.74,3.904,102113597.61275
1644105600000,3.904,4.16,3.45425,3.9145,103684909.89325
1644192000000,3.9145,3.93275,3.26,3.6755,104071486.41025
1644278400000,3.6755,3.9255,3.15375,3.45175,107677576.07775
1644364800000,3.45175,3.98,2.93875,3.71975,139053024.0695
1644451200000,3.71975,3.989,3.312,3.315,111926943.56225
1644537600000,3.315,3.445,2.69,2.847,98674235.49475
1644624000000,2.847,2.90775,2.39125,2.55975,64925665.15025
1644710400000,2.55975,2.648,2.35575,2.59425,42550073.624
1644796800000,2.59425,2.64,1.8705,1.96925,125484806.268
1644883200000,1.96925,2.3,1.7665,2.24475,114317708.17575
1644969600000,2.24475,2.3195,1.99225,2.03175,85982804.0355
1645056000000,2.03175,2.1,1.46525,1.5725,113600956.38775
1645142400000,1.5725,1.78725,1.55,1.651,94093773.43425
1645228800000,1.65075,1.816,1.4675,1.538,64351308.69325
1645315200000,1.538,2.0575,1.48175,1.61025,157075931.834
1645401600000,1.61025,1.73175,1.478,1.551,71834574.5795
1645488000000,1.551,1.65,1.24025,1.3015,71024652.14475
1645574400000,1.3015,1.3755,1.12875,1.15125,53625865.46475
1645660800000,1.15125,1.17875,0.79475,1.0405,102506495.9625
1645747200000,1.0405,1.24,0.9365,1.183,73695143.50875
1645833600000,1.183,1.21825,1.06625,1.11425,34077069.7905
1645920000000,1.11425,1.1345,0.965,1.0115,36445913.75
1646006400000,1.01125,1.1995,0.99025,1.17975,41095530.2305
1646092800000,1.17975,1.36875,1.1325,1.30275,64629639.0745
1646179200000,1.30275,1.658,1.2585,1.58175,87650048.89225
1646265600000,1.58175,1.6385,1.3725,1.4955,72649881.908
1646352000000,1.4955,1.507,1.23525,1.34825,56585096.12025
1646438400000,1.34825,1.3555,1.243,1.28125,19730358.22475
1646524800000,1.28125,1.341,1.111,1.1135,34765049.203
1646611200000,1.1135,1.13575,0.98175,1.014,42068439.478
1646697600000,1.014,1.132,0.995,1.036,26275545.6355
1646784000000,1.036,1.18,1.03175,1.128,28927221.7085
1646870400000,1.128,1.1335,0.994,1.04525,23398401.2565
1646956800000,1.04525,1.048,0.93675,0.95875,23318600.01275
1647043200000,0.95875,0.99775,0.95,0.96725,10583085.19075
1647129600000,0.96725,0.98125,0.89975,0.90975,17026783.20025
1647216000000,0.90975,1.06475,0.901,1.01525,20257055.68725
1647302400000,1.01525,1.09825,0.94175,1.05675,32971107.47875
1647388800000,1.05675,1.3285,0.99525,1.24225,50317153.85125
1647475200000,1.24225,1.289,1.18325,1.22025,28427096.52375
1647561600000,1.22025,1.46475,1.1355,1.36675,40224475.171
1647648000000,1.36675,1.749,1.35325,1.60675,65908356.852
1647734400000,1.60675,1.726,1.422,1.50325,55904744.61475
1647820800000,1.50325,1.811,1.43025,1.71175,52135877.11275
1647907200000,1.71175,1.97,1.68,1.838,78428803.84375
1647993600000,1.838,1.86,1.67725,1.736,47887580.7
1648080000000,1.736,1.955,1.7245,1.81,47512220.22775
1648166400000,1.81,2.01,1.678,1.71775,59686211.1945
1648252800000,1.71775,1.80375,1.705,1.73025,22487676.772
1648339200000,1.73025,1.94875,1.72475,1.9455,32852806.48075
1648425600000,1.9455,2.28,1.88075,2.069,73893200.84125
1648512000000,2.069,2.45775,2.0635,2.414,80723844.478
1648598400000,2.414,2.74925,2.28625,2.692,117205004.721
1648684800000,2.692,2.924,2.24,2.30575,125751829.492
1648771200000,2.30575,2.9095,2.2045,2.7725,115743034.33775
1648857600000,2.7725,2.91425,2.3205,2.3355,91381530.086
1648944000000,2.3355,2.5285,2.2485,2.398,60993568.1555
1649030400000,2.398,2.411,2.0625,2.22675,81219241.2225
1649116800000,2.22675,2.2845,1.78375,1.851,74401884.6795
1649203200000,1.85075,1.993,1.62125,1.653,82472409.16475
1649289600000,1.653,1.8895,1.5905,1.78875,66635087.51675
1649376000000,1.78875,1.8765,1.6235,1.6645,50837278.538
1649462400000,1.6645,1.694,1.481,1.54025,32622990.8495
1649548800000,1.54025,1.68325,1.487,1.5515,43193025.56675
1649635200000,1.5515,1.59375,1.312,1.34725,49723334.029
1649721600000,1.347,1.4465,1.3,1.39725,35106890.79575
1649808000000,1.39725,1.59625,1.38525,1.591,36550690.62225
1649894400000,1.591,1.65925,1.416,1.4915,55646381.785
1649980800000,1.4915,1.5395,1.3495,1.5045,39043484.8535
1650067200000,1.5045,1.5065,1.405,1.46925,19547404.07925
1650153600000,1.46925,1.59275,1.41525,1.43275,22720245.37275
1650240000000,1.43275,1.54525,1.3595,1.4975,32691170.308
1650326400000,1.49775,1.71575,1.48,1.71425,31584732.28325
1650412800000,1.71425,2.169,1.65825,2.028,180243192.90425
1650499200000,2.028,2.15,1.80325,1.94525,123932908.5415
1650585600000,1.94525,1.974,1.68425,1.79475,67009306.428
1650672000000,1.79475,1.8085,1.57325,1.57625,55975017.8665
1650758400000,1.57625,1.80725,1.575,1.758,54789967.744
1650844800000,1.758,1.76675,1.4425,1.6075,94634180.45075
1650931200000,1.6075,1.648,1.3935,1.4115,64554529.0545
1651017600000,1.4115,1.495,1.37325,1.428,42000047.06075
1651104000000,1.428,1.58875,1.3805,1.48825,60268524.98
1651190400000,1.48825,1.6175,1.4175,1.51025,66834556.54425
1651276800000,1.51025,1.517,1.2985,1.30025,42395650.38475
1651363200000,1.30025,1.7205,1.22525,1.62425,75065095.19775
1651449600000,1.62425,1.82,1.54575,1.72025,122443615.826
1651536000000,1.72025,1.817,1.5205,1.5315,86807189.11175
1651622400000,1.53125,1.813,1.4955,1.793,81164644.0315
1651708800000,1.7935,1.887,1.458,1.60275,89391705.305
1651795200000,1.60275,1.607,1.3355,1.41275,76349683.842
1651881600000,1.41275,1.444,1.264,1.323,32105484.97
1651968000000,1.323,1.3675,1.22375,1.25325,46304101.5285
1652054400000,1.25325,1.30675,0.954,0.967,69952705.3565
1652140800000,0.967,1.1915,0.93275,1.02875,65294201.68675
1652227200000,1.02875,1.11875,0.605,0.852,66690282.3675
1652313600000,0.852,0.9445,0.50725,0.69075,46323136.4085
1652400000000,0.69075,0.8925,0.64625,0.66375,33555491.8815
1652486400000,0.66375,0.713,0.554,0.65175,20353669.96025
1652572800000,0.65175,0.73375,0.6045,0.727,23637705.097
1652659200000,0.727,0.72775,0.6,0.6245,23144917.1715
1652745600000,0.6245,0.7075,0.61675,0.6765,20607551.09175
1652832000000,0.6765,0.6885,0.48875,0.49225,29385911.59075
1652918400000,0.49225,0.6,0.48975,0.561,30002583.018
1653004800000,0.561,0.58425,0.498,0.51825,20280660.2205
1653091200000,0.51825,0.53075,0.4515,0.46875,21180728.90225
1653177600000,0.46875,0.56425,0.46825,0.54675,26090342.531
1653264000000,0.54675,0.64775,0.5385,0.58575,48167546.772
1653350400000,0.58575,0.6125,0.49825,0.56475,34964913.16325
1653436800000,0.56475,0.597,0.546,0.572,20861994.49325
1653523200000,0.572,0.5945,0.48775,0.49375,23829526.3835
1653609600000,0.49375,0.5235,0.457,0.47375,20301192.693
1653696000000,0.47375,0.52125,0.46625,0.51175,14281750.69
1653782400000,0.51175,0.51875,0.481,0.49675,14480949.972
1653868800000,0.49675,0.5755,0.492,0.5715,19328162.5305
1653955200000,0.5715,0.57675,0.5015,0.51425,18031969.794
1654041600000,0.51425,0.52925,0.41675,0.44625,21657077.7645
1654128000000,0.44625,0.49375,0.4305,0.47025,16594002.59075
1654214400000,0.47025,0.47875,0.42125,0.435,10414657.06225
