date,open,high,low,close,volume
1609459200000,124.39,134.105,123.205,126.53,2011641.24455
1609545600000,126.53,142.2,123.54,137.12,1990087.3009
1609632000000,137.12,165.125,135.595,161.42,2428465.16035
1609718400000,161.42,174.94,140,155.77,3466331.6735
1609804800000,155.77,163.365,141.745,158.555,2082907.1054
1609891200000,158.555,169.995,148.675,169.705,2569919.0738
1609977600000,169.705,181.63,156.745,169.435,2772507.79335
1610064000000,169.435,182.2,150,172.44,4057659.34
1610150400000,172.44,179.61,163.17,177.855,934566.97615
1610236800000,177.855,186.27,161.605,170.085,1850795.9272
1610323200000,170.085,170.47,110.24,139.15,3912550.997
1610409600000,139.15,146.83,127.87,132.865,1285572.71485
1610496000000,132.85,148.065,125.09,147.53,1379446.2038
1610582400000,147.53,156.95,143.195,152.24,479380.875
1610668800000,152.24,155.1,130,143.77,576696.9911
1610755200000,143.77,152.15,139.35,143.6,729161.55505
1610841600000,143.6,146.93,136.175,142.8,1556832.1162
1610928000000,142.8,154.785,138.455,152.07,2387694.3004
1611014400000,152.04,166.43,150.255,151.83,1869678.44905
1611100800000,151.83,156.015,138.14,149.805,2010491.62925
1611187200000,149.805,150.325,125.5,129.865,2357852.4945
1611273600000,129.865,141.865,121.33,137.885,2736010.5959
1611360000000,137.885,143.445,135.22,137.885,134064.9081
1611446400000,137.885,142.665,132.33,141.325,271086.07565
1611532800000,141.325,147.81,136.72,137.28,793821.48715
1611619200000,137.28,139.745,128.3,134.75,797452.8445
1611705600000,134.75,134.97,117.975,122.685,864183.32195
1611792000000,122.685,136.26,120.935,133.54,1179800.0636
1611878400000,133.54,148,131.725,134.995,1208677.3223
1611964800000,134.995,136.18,127.775,133.325,197070.12455
1612051200000,133.325,134.91,125.62,129.76,1146678.8424
1612137600000,129.76,136.74,125.905,132.015,601148.4291
1612224000000,132.015,146.01,131.985,142.435,1975669.70175
1612310400000,142.435,156.86,142.365,156.42,1764588.9285
1612396800000,156.42,158.955,139.605,145.215,4061057.8555
1612483200000,145.215,157.05,143.675,155.2,2368524.8592
1612569600000,155.2,164.385,148.69,155.7,3696430.92345
1612656000000,155.7,157.575,142.325,151.14,1660953.4642
1612742400000,151.14,169.73,147.72,167.975,2238612.60445
1612828800000,167.975,185.635,164.29,182.2,2269381.4612
1612915200000,182.2,195.7,166.855,181.74,5066613.0776
1613001600000,181.74,193.775,174.635,183.995,3636409.7041
1613088000000,183.995,200.055,176,196.64,4853441.86395
