date,open,high,low,close,volume
1615248000000,4.58125,5.8555,4.561,5.42,3582289.08585
1615334400000,5.42,6.056,4.929,5.336,7745006.47345
1615420800000,5.3355,6.313,5.138,6.085,7700392.29895
1615507200000,6.085,7.4605,5.9175,6.9405,8586790.2497
1615593600000,6.9405,7.6025,6.537,7.415,4419822.3981
1615680000000,7.415,7.415,6.631,6.631,3232094.33955
1615766400000,6.631,6.8735,5.8655,5.916,4225777.1223
1615852800000,5.916,6.9,5.601,6.404,3943418.83375
1615939200000,6.404,6.4445,5.955,6.2495,1382504.8019
1616025600000,6.2495,6.6195,6.0105,6.058,1754803.4109
1616112000000,6.064,6.461,5.862,6.191,1871864.82915
1616198400000,6.191,6.617,6.1215,6.2825,2573002.77385
1616284800000,6.2825,6.324,5.8195,6.0615,2763642.37015
1616371200000,6.0615,6.067,5.2505,5.422,2241654.7736
1616457600000,5.422,5.86,5.1165,5.3225,2387266.3291
1616544000000,5.3225,5.6995,4.8,4.864,1798340.06965
1616630400000,4.864,5.093,4.4745,4.8105,1385066.29755
1616716800000,4.8105,5.582,4.8105,5.4855,2157960.1692
1616803200000,5.4855,5.662,5.26,5.337,1829768.9317
1616889600000,5.337,5.992,5.2865,5.609,1520345.5341
1616976000000,5.609,5.962,5.5295,5.821,1672819.3688
1617062400000,5.821,6.706,5.7475,6.377,5009186.4062
1617148800000,6.377,6.4135,5.6755,6.011,2392170.3074
1617235200000,6.011,6.312,5.837,5.982,2197832.6962
1617321600000,5.982,6.182,5.8865,6.0225,2792428.28265
1617408000000,6.0225,6.4435,5.5685,5.701,3143403.87265
1617494400000,5.701,6.1225,5.576,6.104,4162082.91025
1617580800000,6.104,6.359,5.862,6.157,3071916.12705
1617667200000,6.157,7.3755,6.1545,6.802,12541768.0166
1617753600000,6.802,6.9955,5.7,6.138,11172379.57625
1617840000000,6.138,6.884,6.038,6.8275,7045750.9719
1617926400000,6.8275,6.963,6.332,6.439,1493409.6458
1618012800000,6.439,6.75,6.3015,6.5235,3516013.3079
1618099200000,6.5235,7.446,6.4995,6.802,4635741.26675
1618185600000,6.802,7.377,6.602,6.748,5140799.7818
1618272000000,6.748,6.93,6.4165,6.542,2703914.1689
1618358400000,6.542,6.855,6.17,6.372,3481108.33525
1618444800000,6.372,6.7815,6.282,6.56,2974146.00245
1618531200000,6.56,6.6015,5.92,5.977,3635217.3006
1618617600000,5.977,6.349,5.7305,5.894,3272055.17835
1618704000000,5.894,5.95,4.0335,5.1725,8582113.143
1618790400000,5.1725,5.3695,4.597,4.7415,3494925.03305
1618876800000,4.7415,5.1595,4.359,4.9475,3784911.55525
1618963200000,4.9475,5.079,4.659,4.78,2419467.5333
1619049600000,4.78,5.49,4.673,4.7935,4539757.2723
1619136000000,4.7935,4.9655,3.8875,4.645,3776666.6037
1619222400000,4.645,4.659,4.1025,4.2525,1677621.76725
1619308800000,4.2525,4.876,4.239,4.6525,2175193.0253
1619395200000,4.6525,5.199,4.608,5.03,1604649.4348
1619481600000,5.03,5.263,4.8055,5.1645,1805990.2313
1619568000000,5.1645,5.231,4.7355,4.924,2460059.9492
1619654400000,4.924,5.642,4.7615,5.496,3904700.2241
1619740800000,5.496,5.6845,5.2765,5.5815,2829728.2475
