date,open,high,low,close,volume
1654041600000,1.738625,1.865,1.02875,1.2325,161566051.9325
1654128000000,1.2325,1.6145,1.042,1.542,158100727.259
1654214400000,1.542,1.6465,1.2815,1.359,126550230.599
1654300800000,1.359,1.4755,1.2905,1.39,93150231.296
1654387200000,1.39,1.434,1.144,1.164,69936868.44225
1654473600000,1.164,1.36875,1.13825,1.32,82557175.36525
1654560000000,1.32,1.32125,1.05,1.10525,69409121.782
1654646400000,1.10525,1.118,0.6965,0.728,90750795.0955
1654732800000,0.728,0.91,0.7205,0.82325,125151445.49575
1654819200000,0.82325,0.967,0.79475,0.877,162711781.58775
1654905600000,0.877,0.9265,0.726,0.76175,84051399.36025
1654992000000,0.76175,0.775,0.62175,0.64375,78076383.841
1655078400000,0.64375,0.6675,0.49625,0.544,64587423.13375
1655164800000,0.544,0.62475,0.51,0.56425,48649198.23475
1655251200000,0.56425,0.60275,0.46875,0.592,51729128.94475
1655337600000,0.592,0.62625,0.47925,0.48925,36026755.6205
1655424000000,0.48925,0.527,0.48375,0.518,20296202.79
1655510400000,0.518,0.5295,0.39475,0.44825,28001174.6565
1655596800000,0.44825,0.5275,0.43425,0.50725,28389516.4305
1655683200000,0.50725,0.546,0.46925,0.50125,24231291.4855
1655769600000,0.50125,0.57425,0.49,0.5135,21849263.87975
1655856000000,0.5135,0.515,0.45775,0.4615,14828579.94625
1655942400000,0.4615,0.531,0.45975,0.52225,13007455.617
1656028800000,0.52225,0.64275,0.51075,0.58925,32700870.75425
1656115200000,0.58925,0.6555,0.54975,0.58125,32877170.762
1656201600000,0.58125,0.63575,0.5275,0.5395,25255252.09775
1656288000000,0.5395,0.58175,0.514,0.53625,14818760.9605
1656374400000,0.53625,0.56475,0.5055,0.5285,18236180.18925
1656460800000,0.5285,0.612,0.5195,0.5805,35294823.84575
1656547200000,0.5805,0.608,0.505,0.54575,25138321.1095
1656633600000,0.54575,0.5715,0.51725,0.529,10096777.7885
1656720000000,0.529,0.547,0.508,0.524,4971188.52825
1656806400000,0.524,0.53375,0.5095,0.52175,3554508.429
1656892800000,0.52175,0.57,0.5125,0.56,5444743.6795
1656979200000,0.56,0.56775,0.51425,0.5235,6241767.7495
1657065600000,0.5235,0.55575,0.51625,0.54175,5274782.3395
1657152000000,0.54175,0.58875,0.54175,0.576,10254751.6165
1657238400000,0.576,0.62625,0.55525,0.5655,11555229.7615
1657324800000,0.5655,0.58475,0.5565,0.57175,4383560.97775
1657411200000,0.57175,0.57375,0.524,0.53275,4484542.0325
1657497600000,0.53275,0.53475,0.47175,0.48025,5128325.61575
1657584000000,0.48025,0.48975,0.443,0.449,5467476.04475
1657670400000,0.449,0.47475,0.403,0.47375,8708411.4435
1657756800000,0.47375,0.50175,0.4395,0.49175,6542990.56
1657843200000,0.49175,0.512,0.4725,0.48225,7172778.90825
1657929600000,0.48225,0.5345,0.467,0.5205,10524673.866
1658016000000,0.5205,0.61375,0.5135,0.58025,24886067.1365
1658102400000,0.58025,0.83225,0.56275,0.81525,81782504.96975
1658188800000,0.81525,0.8385,0.70175,0.7205,45990830.528
1658275200000,0.7205,0.83975,0.66,0.6855,48024655.82425
1658361600000,0.6855,0.79025,0.651,0.7765,36060944.6785
1658448000000,0.7765,0.877,0.73,0.83675,63332866.4635
1658534400000,0.83675,0.95775,0.8075,0.93925,73702332.5275
1658620800000,0.93925,0.9755,0.8915,0.91875,51641078.49975
1658707200000,0.91875,0.9235,0.79,0.795,47082255.43925
1658793600000,0.795,0.829,0.74625,0.825,41170493.1975
1658880000000,0.825,0.88,0.80525,0.85475,29476764.136
