date,open,high,low,close,volume
1609459200000,1.1715,1.4215,1.1505,1.2875,3875882.07185
1609545600000,1.2875,1.396,1.213,1.2915,1958187.9998
1609632000000,1.2915,1.535,1.281,1.4935,3330572.51515
1609718400000,1.4935,1.6015,1.281,1.598,3251592.80935
1609804800000,1.598,1.6645,1.4975,1.58,3483321.8054
1609891200000,1.58,1.659,1.4605,1.5895,4447849.4969
1609977600000,1.5895,1.625,1.361,1.461,4310444.4901
1610064000000,1.461,1.4665,1.192,1.3395,3379964.52275
1610150400000,1.3395,1.6,1.306,1.558,3210822.94305
1610236800000,1.558,1.6395,1.33,1.4515,5085054.9749
1610323200000,1.4515,1.458,1.1145,1.294,4196805.576
1610409600000,1.294,1.414,1.2275,1.283,3534742.3076
1610496000000,1.283,1.8435,1.2125,1.7845,9093648.5193
1610582400000,1.7845,1.948,1.6955,1.903,5158908.9487
1610668800000,1.903,1.9835,1.6545,1.8525,6697989.08025
1610755200000,1.8525,2.1525,1.852,1.969,9038472.05735
1610841600000,1.969,2.0205,1.824,1.9605,5696077.24665
1610928000000,1.9605,2.1,1.85,2.0815,3958381.34525
1611014400000,2.0815,2.2195,1.9505,1.9935,4909391.8872
1611100800000,1.9935,2.0595,1.791,2.0185,2861604.4941
1611187200000,2.0185,2.0435,1.5815,1.638,3835110.63005
1611273600000,1.638,2.18,1.538,2.1265,5212659.96455
1611360000000,2.1265,2.5635,2.084,2.3735,9376616.807
1611446400000,2.3735,2.654,2.3435,2.613,3254891.57415
1611532800000,2.613,2.65,2.225,2.371,3171998.3194
1611619200000,2.371,2.476,2.191,2.418,3870909.3815
1611705600000,2.418,2.5595,2.179,2.544,4606638.2503
1611792000000,2.544,3.3985,2.493,3.2045,8856402.5967
1611878400000,3.2045,3.694,3.0335,3.6625,11294288.27955
1611964800000,3.6625,4.052,3.521,3.9035,9397855.7761
1612051200000,3.9035,4.0795,3.3635,3.616,7260272.0794
1612137600000,3.616,4.2765,3.402,4.176,7426027.12805
1612224000000,4.176,4.263,3.6225,3.7985,4932698.84975
1612310400000,3.7985,3.915,3.669,3.73,3781061.80375
1612396800000,3.73,4.1965,3.55,3.8905,10848881.88805
1612483200000,3.8905,4.3445,3.71,3.968,10777875.6852
1612569600000,3.968,4.0155,3.3235,3.569,9704601.7463
1612656000000,3.569,3.843,3.013,3.7945,10739428.70205
1612742400000,3.796,4.61,3.5405,4.6015,14692651.37785
1612828800000,4.6015,4.7435,4.28,4.582,8403710.30815
1612915200000,4.582,4.9715,4.1655,4.4385,11233820.57025
1613001600000,4.4385,4.708,4.2775,4.4985,5188147.9121
1613088000000,4.4985,4.5275,4.119,4.3405,9864020.51555
1613174400000,4.3405,4.4905,3.907,4.4505,10860859.4005
1613260800000,4.4505,4.5835,3.794,3.9595,7470348.1959
1613347200000,3.9595,4.4,3.37,3.877,9373259.70965
1613433600000,3.877,4.1915,3.603,3.9155,6448734.1275
1613520000000,3.9155,4.075,3.554,3.998,4644062.572
1613606400000,3.998,4.295,3.939,3.987,4477046.16305
1613692800000,3.987,5.037,3.85,4.804,15907737.0677
1613779200000,4.804,5.72,4.5,5.133,34344170.1426
1613865600000,5.133,5.3025,4.6345,4.767,10466583.52535
1613952000000,4.778,4.7855,3.615,4.5,15102763.5348
1614038400000,4.5,4.92,3.05,4.878,27926176.54325
1614124800000,4.878,5.6755,4.4535,4.9575,33003879.88415
1614211200000,4.9575,5.27,4.41,4.4375,14455829.4305
1614297600000,4.454,4.977,4.03,4.406,16686588.1405
1614384000000,4.406,4.824,4.389,4.5135,15384499.63055
1614470400000,4.5135,4.5475,3.875,4.364,9508362.87765
1614556800000,4.364,5.2115,4.355,5.2005,11721528.36625
1614643200000,5.2005,5.6685,4.883,5.1515,14236100.2812
1614729600000,5.154,6.1525,5.063,5.7125,16847281.66095
1614816000000,5.7125,5.762,5.073,5.246,11395510.95855
1614902400000,5.246,5.683,4.9,5.5195,9265750.76565
1614988800000,5.5195,5.94,5.39,5.6925,5466043.7118
1615075200000,5.6925,6,5.504,5.689,6649566.6596
1615161600000,5.689,5.862,5.353,5.839,5064530.7462
1615248000000,5.839,6.2105,5.745,6.1645,6637166.8624
1615334400000,6.1645,6.69,5.7595,6.325,12510935.8337
1615420800000,6.3245,6.787,6.072,6.425,10382217.34175
1615507200000,6.425,6.4775,5.7,6.0105,8157349.01365
1615593600000,6.0105,6.311,5.8045,6.1245,4338018.85275
1615680000000,6.1245,6.164,5.544,5.5515,4938753.9818
1615766400000,5.5515,5.887,5.215,5.6805,8533529.5906
1615852800000,5.6805,5.7785,5.345,5.609,4831306.37395
1615939200000,5.6105,5.9135,5.4035,5.86,5904309.8738
1616025600000,5.8615,6.0175,5.611,5.644,2958798.2022
1616112000000,5.644,5.7225,5.4875,5.582,2593549.5623
1616198400000,5.582,6.061,5.5485,5.7935,4216797.353
1616284800000,5.7935,5.8235,5.3705,5.658,5416757.8586
1616371200000,5.658,5.69,5.0145,5.274,5763077.8572
1616457600000,5.274,5.381,4.935,5.128,7899394.2804
1616544000000,5.128,5.433,4.5315,4.6265,8055072.92815
1616630400000,4.6265,4.9315,4.46,4.749,7647514.6652
1616716800000,4.749,5.951,4.743,5.9285,8196523.4022
1616803200000,5.9285,6.441,5.716,6.218,8412975.19995
1616889600000,6.218,6.509,5.887,6.1615,5238830.0899
1616976000000,6.1615,6.7905,6.1285,6.7625,5137078.20505
1617062400000,6.7625,7.3365,6.64,7.3035,11710688.71385
1617148800000,7.3035,8.0755,6.9535,7.966,16302919.6375
1617235200000,7.966,8.9545,7.9655,8.3515,19695293.7815
1617321600000,8.3515,8.8585,7.931,8.428,12144685.75725
1617408000000,8.428,9.518,8.199,9.244,24729035.335
1617494400000,9.244,10.453,9.057,10.388,21827424.0467
1617580800000,10.388,10.92,9.43,9.843,24002414.3345
1617667200000,9.823,10.0725,9.029,9.945,27830209.7732
1617753600000,9.945,10.2485,8.832,9.16,32895343.796
1617840000000,9.16,10.4,9.1145,10.298,19513549.1359
1617926400000,10.2805,12.179,10.263,11.909,28857723.13865
1618012800000,11.909,12.9795,11.241,11.9205,20113521.767
1618099200000,11.9205,12.0275,10.885,10.994,17651413.70465
1618185600000,10.994,12.3,10.454,12.082,25125813.68065
1618272000000,12.082,13.521,11.6565,13.2945,42518424.79505
1618358400000,13.2945,16.89,13.2655,15.3635,86983623.78475
1618444800000,15.3635,16.0865,14.257,14.6605,31996934.0541
1618531200000,14.6605,15.4905,12.938,14.5845,43661759.9905
1618617600000,14.5845,15.8355,14.128,14.1635,26429547.86405
1618704000000,14.1635,16.7,11.514,16.6455,85106201.53845
1618790400000,16.6455,16.9765,13.544,14.0245,71818063.4366
1618876800000,14.0245,14.99,12.2645,14.8085,56619726.5877
1618963200000,14.8085,14.9,12.9125,13.075,29037675.33475
1619049600000,13.075,15.1195,12.634,13.985,55455771.3284
1619136000000,13.985,14.8305,11.5595,13.1095,53872365.74425
1619222400000,13.1095,13.149,11.1135,11.342,20506305.07185
1619308800000,11.342,12.643,10.66,11.529,22740669.9498
1619395200000,11.529,14.0745,11.3425,13.897,33776776.28805
1619481600000,13.897,15.1025,13.549,14.7745,33501726.04055
1619568000000,14.7745,15.49,13.8,14.2055,35113412.0909
1619654400000,14.2055,14.7935,13.3975,14.218,21920837.94895
1619740800000,14.218,16.214,13.838,15.405,34795976.92575
1619827200000,15.405,15.943,14.8625,15.518,18767945.65995
1619913600000,15.512,15.5255,14.2735,14.588,15137092.0573
1620000000000,14.588,17.8735,14.5385,17.828,41676018.93075
1620086400000,17.828,18.8655,16.26,16.813,85788021.9105
1620172800000,16.813,19.163,16.6475,18.361,52401774.3665
1620259200000,18.361,18.524,16.834,17.4845,31891207.332
1620345600000,17.4845,18.977,16.628,18.037,39030459.93345
1620432000000,18.037,19.416,17.762,19.36,25247368.4615
1620518400000,19.36,19.36,17.475,17.9575,27177235.45815
1620604800000,17.9575,18.5205,15.6,16.5745,33963350.1065
1620691200000,16.5745,18.3,15.771,18.0605,44958540.68015
1620777600000,18.0605,19.918,16.6,17.425,106973791.6264
1620864000000,17.425,18.6,16.15,17.352,60474543.21895
1620950400000,17.352,19.354,17.1745,18.769,48998126.5744
1621036800000,18.769,19.3885,17.5,17.6045,44565528.29295
1621123200000,17.6125,20.9635,17.456,19.4995,85165341.49615
1621209600000,19.4995,20,16.8,18.4575,70800941.27325
1621296000000,18.4575,20.7795,18.4215,20.337,63088238.0381
1621382400000,20.337,21.333,9.0595,11.4965,203957814.0236
1621468800000,11.5145,15,10.3035,13.6535,82279100.51925
1621555200000,13.6535,14.4135,7.9325,10.345,89491384.613
1621641600000,10.345,10.881,8.2715,9.3935,88066557.5492
1621728000000,9.3935,9.7725,5.9735,7.7555,86887786.1518
1621814400000,7.7555,10.69,7.6365,10.168,72878891.4449
1621900800000,10.168,12.69,9.393,12.6405,65489862.9054
1621987200000,12.6405,14,11.855,12.739,62838919.22935
1622073600000,12.739,14.913,11.665,14.1445,66205480.85285
1622160000000,14.1445,14.675,10.309,10.7905,69417657.2601
1622246400000,10.7905,12.051,9.2645,9.9895,57325839.0648
1622332800000,9.9895,11.9225,9.2445,11.0205,44894296.46885
1622419200000,11.0205,12.803,10.2125,12.634,35662540.71445
1622505600000,12.634,12.921,11.105,11.5435,39547451.23345
