date,open,high,low,close,volume
1609459200000,1.505,1.8675,1.485,1.845,6683253.255
1609545600000,1.845,2.01,1.72,1.8025,4751298.8675
1609632000000,1.8025,2.37,1.795,2.19,17299622.5925
1609718400000,2.19,2.51,1.8225,2.505,20423720.05
1609804800000,2.505,2.5275,2.06,2.165,17423468.73
1609891200000,2.165,2.19,1.8525,1.9125,23641849.875
1609977600000,1.9125,2.715,1.9,2.38,68355685.62
1610064000000,2.38,3.84,2.175,3.2225,44447507.685
1610150400000,3.2225,3.7,2.9225,3.395,35716191.49
1610236800000,3.395,3.7875,3.18,3.46,27914329.4825
1610323200000,3.46,3.5425,2.5925,3.1025,31653470.5375
1610409600000,3.1025,4,3.055,3.6375,30696958.145
1610496000000,3.6375,3.6525,3.26,3.5225,22120722.1075
1610582400000,3.5225,3.565,3.1775,3.295,19170741.275
1610668800000,3.295,3.46,2.98,3.2575,11841189.615
1610755200000,3.2575,3.72,3.2475,3.435,23081390.585
1610841600000,3.435,3.995,3.305,3.8325,26469800.9
1610928000000,3.8325,4.1775,3.58,3.8,25816049.8325
1611014400000,3.8,4.07,3.595,3.6375,16157719.285
1611100800000,3.6375,3.74,3.3325,3.7225,14018926.87
1611187200000,3.7225,3.74,2.91,2.9825,15322274.3025
1611273600000,2.9825,3.5,2.475,3.345,23090321.745
1611360000000,3.345,3.6025,3.31,3.5075,6581507.6575
1611446400000,3.5075,3.7975,3.49,3.645,7251224.0775
1611532800000,3.645,3.99,3.445,3.705,17597976.345
1611619200000,3.705,4.1,3.665,4.05,16281532.2125
1611705600000,4.05,4.05,3.5175,3.675,10008958.8175
1611792000000,3.685,3.96,3.61,3.8275,6479443.0175
1611878400000,3.8275,3.9125,3.645,3.8425,9869938.525
1611964800000,3.8425,4.3325,3.77,4.255,14837637.11
1612051200000,4.255,4.8125,4.15,4.265,20107135.5275
1612137600000,4.265,4.62,4.11,4.615,9938181.3475
1612224000000,4.615,5.425,4.4725,5.2675,30123218.5675
1612310400000,5.2675,5.7925,5.0775,5.75,16370352.3175
1612396800000,5.75,6.5475,5.44,6.4375,27511306.35
1612483200000,6.4375,7.1675,6.4175,6.705,23904632.74
1612569600000,6.705,6.8225,5.7,6.1225,24204651.1625
1612656000000,6.1225,6.87,5.75,6.695,25509340.035
1612742400000,6.695,8.08,6.4725,7.8925,34035397.365
1612828800000,7.8925,8.5,7.55,7.8225,28162830.3075
1612915200000,7.8225,9.09,7.62,9.0775,43542655.81
1613001600000,9.0775,9.69,8.71,9.2375,55895378.4325
1613088000000,9.22,9.9275,9.0775,9.25,33232884.49
1613174400000,9.25,9.525,8.6575,8.7625,34554260.455
1613260800000,8.7625,9.2425,8.53,8.7425,39442165.805
1613347200000,8.7425,9.335,7.835,8.8725,36308237.6675
1613433600000,8.8725,9.0025,7.985,8.295,25853468.25
1613520000000,8.295,8.4725,7.5525,8.2575,30957660.71
1613606400000,8.2575,9.295,8.2575,8.9825,29322785.36
1613692800000,8.9825,11.53,8.55,11.4875,76184657.38
1613779200000,11.4875,11.75,9.82,10.0025,54876900.335
1613865600000,10.0025,11.64,9.82,11.0875,48083689.3225
1613952000000,11.0875,14.49,9.315,14.335,146427629.4075
1614038400000,14.335,15.8925,11.43,15.245,282232835.0725
1614124800000,15.245,18.1475,14.8775,17.25,204867460.68
1614211200000,17.25,17.8025,13.71,13.8475,141299800.77
1614297600000,13.8475,15.5525,13.0125,13.625,154570028.9125
1614384000000,13.625,14.895,13.0225,13.22,119345555.6125
1614470400000,13.22,13.81,11.4575,13.105,119300848.24
1614556800000,13.105,15.58,13.0475,15.025,90886713.055
1614643200000,15.025,15.355,13.4275,14.0025,62364217.1325
1614729600000,14.0025,14.775,13.8,14.12,63819346.5125
1614816000000,14.12,14.295,12.7525,13.105,52027781.8
1614902400000,13.105,13.12,12.1525,12.5925,52982947.3325
1614988800000,12.5925,13.3,11.8925,13.06,35626326.6675
1615075200000,13.06,14.035,12.76,13.855,40617358.4225
1615161600000,13.855,13.93,13.1125,13.6675,40156552.135
1615248000000,13.6675,15.1325,13.37,14.93,66056069.01
1615334400000,14.93,15.2675,14.07,14.2575,61688514.3925
1615420800000,14.2575,16.33,13.6925,16.0675,94869288.805
1615507200000,16.0675,16.55,13.845,14.6075,80045763.225
1615593600000,14.6075,15.4575,13.93,15.3425,46408711.3575
1615680000000,15.34,15.4175,14.3825,14.5225,43130201.6825
1615766400000,14.5225,14.8725,13.6325,14.22,53884068.71
1615852800000,14.22,14.345,13.24,13.6675,53127249.5725
1615939200000,13.6675,14.3325,13.04,14.26,40131030.5
1616025600000,14.2575,14.865,14.015,14.2225,43314636.8425
1616112000000,14.2225,14.525,13.8625,14.1675,25582164.2325
1616198400000,14.1675,15.0025,14.1225,14.205,29607025.4725
1616284800000,14.205,14.3925,13.6575,14.35,21940460.485
1616371200000,14.35,16.655,14.2,14.825,117498526.27
1616457600000,14.825,15.245,14.065,14.1775,59208431.2775
1616544000000,14.1775,15.38,13.5725,13.6,54808439.2575
1616630400000,13.6,13.7175,12.5625,12.99,62258322.015
1616716800000,12.99,14.81,12.3525,14.775,66759904.17
1616803200000,14.775,16.855,14.7475,16.5125,75070610.59
1616889600000,16.5125,19.395,16.3425,18.14,145496427.1825
1616976000000,18.14,19.065,17.6825,18.9725,77141646.12
1617062400000,18.975,20.9,18.9625,19.1475,101693567.2575
1617148800000,19.1475,19.8925,18.0075,19.4625,89202040.925
1617235200000,19.4625,20.41,18.8,19.1025,61626858.19
1617321600000,19.1025,19.9025,18.5825,19.85,49553166.9425
1617408000000,19.85,23.8725,19.7225,22.4875,213356418.115
