date,open,high,low,close,volume
1609459200000,1.037,1.151,1.025,1.13,443946.346
1609545600000,1.13,1.161,1.033,1.06,392303.26
1609632000000,1.06,1.2,1.035,1.191,405163.003
1609718400000,1.191,1.335,1,1.316,1199808.223
1609804800000,1.316,1.635,1.169,1.482,2111987.597
1609891200000,1.482,1.593,1.361,1.449,1072671.517
1609977600000,1.449,1.576,1.351,1.401,784038.106
1610064000000,1.401,1.892,1.247,1.642,2864825.163
1610150400000,1.642,1.838,1.5,1.741,1200603.92
1610236800000,1.741,1.97,1.43,1.622,2591699.238
1610323200000,1.622,1.63,1.208,1.419,1616904.107
1610409600000,1.419,1.6,1.304,1.445,1102512.328
1610496000000,1.445,1.68,1.359,1.655,663747.365
1610582400000,1.655,1.798,1.532,1.695,1091271.42
1610668800000,1.695,1.766,1.488,1.705,1064274.138
1610755200000,1.705,1.968,1.699,1.77,1193238.364
1610841600000,1.77,1.844,1.6,1.82,1094972.294
1610928000000,1.82,2.05,1.777,1.915,1377438.259
1611014400000,1.915,2.01,1.762,1.798,929767.354
1611100800000,1.798,1.888,1.631,1.833,1116492.032
1611187200000,1.833,1.839,1.5,1.54,1356249.658
1611273600000,1.54,1.7,1.414,1.675,1127581.398
1611360000000,1.675,1.801,1.624,1.762,739218.817
1611446400000,1.762,2,1.721,1.973,882179.39
1611532800000,1.973,2.19,1.86,1.901,1798498.621
1611619200000,1.901,2.226,1.86,2.224,1146137.106
1611705600000,2.224,2.226,1.778,1.89,1568351.891
1611792000000,1.89,2.051,1.819,1.924,1338476.817
1611878400000,1.924,1.962,1.79,1.885,1550984.731
1611964800000,1.885,2.147,1.785,2.066,941330.798
1612051200000,2.066,2.488,2.037,2.455,2392576.748
1612137600000,2.455,2.904,2.235,2.849,1811327.99
1612224000000,2.849,3.05,2.669,2.971,3643344.56
1612310400000,2.971,3,2.725,2.844,1423821.785
1612396800000,2.844,3,2.62,2.875,1561545.562
1612483200000,2.875,3.469,2.87,3.14,3201474.837
1612569600000,3.14,3.46,2.812,2.903,1959667.952
1612656000000,2.903,2.992,2.613,2.877,2198880.063
1612742400000,2.877,3.3,2.778,3.119,3839650.901
1612828800000,3.119,3.509,3.043,3.368,3801129.978
1612915200000,3.368,4.5,3.071,4.24,7445436.435
1613001600000,4.24,4.543,3.903,4.125,4327006.255
1613088000000,4.125,4.368,3.948,4.175,2557407.503
1613174400000,4.175,4.5,3.8,4.113,4619113.253
1613260800000,4.113,4.164,3.65,3.831,2973733.872
1613347200000,3.831,4.052,3.282,3.648,5744368.053
1613433600000,3.648,3.995,3.4,3.62,3747102.274
1613520000000,3.62,4.023,3.038,3.827,3477876.762
1613606400000,3.827,4.066,3.716,3.991,2468743.818
1613692800000,3.991,5.2,3.71,5.112,6020448.851
1613779200000,5.112,5.33,4.2,4.566,5829965.527
