date,open,high,low,close,volume
1609459200000,5.163,5.278,4.625,4.752,25666161.1879
1609545600000,4.752,5.196,4.494,4.86,40249917.5863
1609632000000,4.86,5.661,4.683,5.533,29503948.7252
1609718400000,5.533,6.247,4.907,5.44,40739229.3622
1609804800000,5.44,6.588,5.217,6.284,22481817.0214
1609891200000,6.284,6.627,6.031,6.432,18420383.611
1609977600000,6.432,6.835,6.006,6.275,20015014.3592
1610064000000,6.275,6.382,5.488,5.886,19833936.1907
1610150400000,5.886,6.373,5.67,6.248,13346027.4342
1610236800000,6.248,6.6,5.53,5.989,18735499.1103
1610323200000,5.989,6.003,4.391,5.244,39945322.6253
1610409600000,5.244,5.826,4.969,5.591,17893267.2764
1610496000000,5.591,6.387,5.257,6.343,15009180.2572
1610582400000,6.343,7.144,6.182,6.969,19019398.4036
1610668800000,6.961,7.49,6.391,7.37,24493569.6826
1610755200000,7.37,9.388,7.2,8.401,36686205.0626
1610841600000,8.401,9.17,8.07,8.684,23093658.1749
1610928000000,8.684,9.868,8.314,9.201,20565222.442
1611014400000,9.201,9.693,8.352,8.584,22277330.6729
1611100800000,8.584,9.04,7.63,8.986,17885106.5393
1611187200000,8.986,9.041,7.314,7.579,21085088.6789
1611273600000,7.578,9.03,7.028,8.695,17806438.1757
1611360000000,8.695,9.542,8.501,9.339,12428722.1489
1611446400000,9.339,12.284,9.165,12.022,25635103.7649
1611532800000,12.022,12.874,10.849,11.281,38294108.4316
1611619200000,11.281,14.255,11.144,13.915,59826252.6727
1611705600000,13.915,15.495,12.99,14.692,59014933.6412
1611792000000,14.692,15.37,13.51,14.143,38733768.9705
1611878400000,14.143,15.827,14.106,15.688,38744513.646
1611964800000,15.688,19.675,15.113,19.589,38159361.6766
1612051200000,19.589,20.511,17.428,17.743,47007505.826
1612137600000,17.743,20.815,16.689,20.509,40487960.9666
1612224000000,20.509,20.623,18.1,19.009,25366367.3131
1612310400000,19.009,20.591,18.734,19.777,26004860.8234
1612396800000,19.777,21.7,19.1,20.141,44709851.8069
1612483200000,20.141,22.61,19.612,21.191,33566458.5296
1612569600000,21.191,21.762,19.204,19.272,32190835.6497
1612656000000,19.272,19.681,17.08,18.68,25923866.6128
1612742400000,18.68,20.216,18.13,19.363,22647468.5166
1612828800000,19.363,20.005,18.909,19.58,18187819.3935
1612915200000,19.58,22.5,19.569,20.697,42767417.3012
1613001600000,20.697,22.11,20.147,21.536,29848590.6496
1613088000000,21.536,23.95,21.313,22.704,40132810.3726
1613174400000,22.704,23.698,21.203,21.84,29436091.5972
1613260800000,21.84,22.653,20.679,20.831,21924368.4187
1613347200000,20.831,21.578,17,20.107,45029503.6099
1613433600000,20.107,21.354,19.381,20.483,20913515.2095
1613520000000,20.482,21.923,19.163,21.58,24134111.4215
1613606400000,21.58,22.349,20.638,21.206,23354981.516
1613692800000,21.206,21.602,19.286,20.088,24777924.4737
1613779200000,20.088,33.074,19.507,28.834,176245073.4574
1613865600000,28.834,32.225,27.773,28.863,97870816.2092
1613952000000,28.863,29.196,21,27.653,92415488.1933
1614038400000,27.653,27.757,18.076,24.816,124040070.534
1614124800000,24.816,27.335,23.079,25.223,68299428.7903
1614211200000,25.223,26.991,23.063,23.495,61089628.3736
1614297600000,23.493,25.208,21.006,23.116,55080460.6501
1614384000000,23.116,24.888,22.302,23.551,42940981.3643
1614470400000,23.551,24.124,20.474,22.239,58737239.5742
1614556800000,22.236,25.779,22.077,25.779,56831868.0567
1614643200000,25.779,27.478,24.545,25.555,53916277.9783
1614729600000,25.555,27.685,25.303,25.413,54458492.5808
1614816000000,25.413,29.848,24.774,28.337,100513650.7809
1614902400000,28.337,28.836,25.868,28.338,75511469.9804
1614988800000,28.338,29.096,27.203,28.569,30634630.1192
1615075200000,28.569,34.905,28.527,34.293,72713279.9874
1615161600000,34.293,34.95,32.065,33.328,71173479.4574
1615248000000,33.328,34.857,32.396,33.013,39064948.6498
1615334400000,33.013,33.653,30.395,30.991,48767960.7761
1615420800000,30.991,31.914,29.511,31.106,43697397.8127
1615507200000,31.106,32.072,29.25,31.007,37813009.8656
1615593600000,31.007,33.442,30.234,32.564,35381831.6994
1615680000000,32.565,33.851,30.66,30.683,34726895.5086
1615766400000,30.683,31.592,29.557,29.812,49347214.0627
1615852800000,29.812,30.151,27.969,30.109,38502007.4874
1615939200000,30.109,31.743,29.49,31.379,43826432.1299
1616025600000,31.386,31.683,29.76,30.005,27750101.5527
1616112000000,30.005,34.343,29.457,33.375,60961125.3584
1616198400000,33.375,35.29,31.935,32.161,57959667.4658
1616284800000,32.161,33.374,31.504,33.009,49900531.9013
1616371200000,33.009,35.989,31.834,32.861,104605539.0179
1616457600000,32.861,37.102,30.234,30.977,224799799.8349
1616544000000,30.98,31.909,25.435,27.209,90817399.9358
1616630400000,27.209,28.073,25.609,26.538,86510482.8869
